,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
sub_topic_17,0.0013155397,0.0015047967,0.0012915197,0.001813186,0.0009225359,0.00054681936,0.0019423438,0.0036583196,0.89440763,0.0006098205,0.0010270257,0.001590115,0.0022715009,0.0031754344,0.0002811575,0.00041840118,0.0009874315,0.00023160303,0.0012445778,0.0006110682,0.000645279,0.00263218,0.0010466834,0.0059086364,0.00057870685
sub_topic_18,0.0007503375,0.0055011148,0.0077569364,0.0009858664,3.3078077e-06,0.0005204035,0.0010710083,0.00022827188,7.234182e-07,0.012340067,1.7206183e-05,0.0,0.0011633806,0.0007141955,0.0006325096,0.00019440478,0.0033489068,0.13000154,0.00040195722,0.0013582938,0.06528428,8.905424e-05,0.0031671615,0.00012491971,4.9292994e-05
sub_topic_19,0.00011100492,9.512975e-05,0.00035803742,0.002429056,4.0045295e-05,0.0014144672,0.00010831404,0.00013911238,2.3969269e-05,0.00095783256,0.00046189385,0.00014609944,6.1097526e-05,0.00020897292,0.00015942604,0.00078311266,0.9597348,5.2953423e-05,0.00087333523,0.00030956042,0.0002019132,3.271776e-05,0.0002822671,0.00010133419,0.00028930558
sub_topic_20,0.0019865807,0.00051586615,0.000103669474,3.2172018e-05,0.00011145819,1.9004989e-05,0.0003127954,0.0004960069,8.7174856e-05,0.0026454246,0.003666246,0.037506495,3.6005617e-06,0.007072574,0.08461445,0.039175913,0.000747809,2.5094945e-05,3.57531e-05,7.736386e-05,2.1491749e-05,0.00041477205,0.0012172206,3.275983e-05,0.04029815
sub_topic_21,6.8630925e-06,8.456305e-06,5.039695e-05,0.0008908944,5.784371e-07,1.6772201e-05,6.049488e-06,0.0014216648,3.1802643e-05,2.7272567e-06,0.0074898703,2.7354356e-06,1.7427908e-06,3.4787663e-05,7.803262e-05,1.908177e-06,0.0021366256,4.848352e-06,5.2267198e-05,0.38682207,1.7498298e-05,4.899125e-07,0.00011979834,6.4423744e-05,4.51422e-05
sub_topic_22,0.00012723025,0.00041801576,0.0006174557,0.00037607236,1.7322634e-06,0.0003255265,0.0006472599,3.6603666e-05,6.41851e-06,0.0011611162,7.362839e-05,1.1114139e-06,0.00022892393,0.0004920169,0.00034646865,0.00026077766,0.00030765007,0.0006852315,0.0040112073,0.00031367305,0.59434223,5.46656e-05,0.00042789849,7.786081e-06,4.9449416e-05
sub_topic_23,0.033037975,0.002437928,0.008681804,0.00154696,0.00051376875,0.03503985,0.020923981,0.019284628,0.005726149,0.0026660403,0.004745883,0.024818337,0.0013289461,0.0033884416,0.002043112,0.03909707,0.0018902775,5.6970184e-05,0.0023352413,0.00039503642,0.00045851112,0.00446041,0.0023670653,0.00056858134,0.00019723793
sub_topic_24,5.192864e-05,5.3521915e-05,0.00016174187,0.00089954515,2.4436784e-05,0.00024009313,0.0012111415,0.00071200816,2.655941e-05,0.00041444827,0.0010024006,7.060102e-05,3.615924e-05,0.0002695416,0.0014995147,0.001562026,0.00958583,3.8174938e-05,0.09426491,0.0025289434,0.032513935,2.5041723e-05,0.00023392698,1.4609833e-05,0.000106665626
sub_topic_25,6.539934e-05,6.484835e-05,0.0004341436,0.00046625882,5.014514e-05,0.00043046026,7.520962e-05,5.344776e-05,7.256265e-06,0.00014666359,1.5263142e-06,3.0892068e-07,0.00013982874,4.004906e-05,1.9433649e-06,3.988369e-06,0.00015979394,0.00019115777,5.8127553e-05,0.59360033,0.00027183167,0.0030007078,0.00011265348,0.00012142246,5.6095152e-05
sub_topic_26,5.9661066e-05,7.339437e-05,6.3591855e-05,8.330516e-06,1.590282e-05,5.438145e-05,0.00041313673,5.0172835e-05,2.7466367e-06,0.6795325,2.3012877e-05,1.6546986e-06,1.3008536e-05,0.00025280414,0.000117836455,0.0039844336,0.0002190429,1.5596203e-05,4.9568054e-05,1.28287875e-05,3.743827e-05,2.4600592e-06,7.591433e-05,2.4816145e-06,4.3322092e-05
sub_topic_27,1.9377983e-05,0.7460523,2.6889957e-05,8.1447515e-06,6.5546674e-06,2.968462e-05,5.576227e-05,0.0003003309,2.3735336e-06,3.4825287e-05,2.085498e-05,1.3434831e-06,2.1893411e-05,2.1062226e-05,2.1984719e-05,2.884654e-06,4.227746e-06,0.0003445934,9.545581e-07,2.9193006e-06,6.624656e-06,3.7973155e-06,0.00010735332,3.8140166e-05,4.55384e-06
sub_topic_28,0.00025838794,0.0376936,0.00032109852,0.00041903323,0.00049365434,0.00035601115,0.0047393865,0.029942822,0.0001385379,0.00249239,0.0009217799,2.6969257e-05,0.0012427208,0.007908854,0.00056523044,0.0001171717,0.0013455588,0.010146972,2.398725e-05,0.0007635861,2.9495353e-05,0.00021508471,0.0019971784,0.0007373593,0.0002254745
sub_topic_29,0.00028168433,0.0014509103,0.0005521718,1.3461414e-05,0.15073572,2.3799774e-05,0.00075873686,0.001043477,0.00064242736,0.0004195594,2.8057922e-05,0.00035123248,2.8625795e-05,0.0009920893,5.112759e-06,1.5816631e-05,9.859729e-05,0.00016968774,2.9484174e-05,0.0002287234,8.550481e-06,0.00029753902,0.00018789111,0.026790187,0.0010796565
sub_topic_30,0.0013555579,0.0016724548,0.0074720383,0.00066273846,0.0021900812,0.0006543369,0.0018618166,0.002316104,0.05296401,0.0018979533,0.010065137,0.0017066834,0.00789566,0.0033435638,0.0017297588,0.001255636,0.0039936784,0.0003769038,0.001580633,0.0011526294,0.0005998068,0.004775615,0.0028398072,0.000720512,0.09596915
sub_topic_31,0.00031350597,0.0012472293,0.0016687865,0.0012321826,4.5498382e-05,2.8114982e-05,0.00061349064,5.2109837e-05,1.9835361e-05,0.0017964883,1.0888708e-05,9.98474e-07,0.009314115,0.00012882413,9.201706e-05,3.614961e-05,0.0002037902,0.0027455136,0.0025445276,0.006952907,0.2916402,0.0013811054,0.00052489387,1.57175e-05,0.00018329399
sub_topic_32,0.00014114562,0.00033950555,0.00087355933,2.0172127e-05,0.000448119,1.5797386e-05,8.9123874e-05,0.00011170886,7.883767e-05,0.0008593756,0.0071885632,0.0013989155,8.046667e-05,0.0007967962,0.0049719117,0.0011533819,0.00082004385,4.871529e-05,9.445121e-05,0.00017822768,3.9175622e-05,0.00035192145,0.0017186691,1.8058994e-05,0.84515727
sub_topic_33,0.0013935377,0.000815759,0.001788861,0.00025444682,0.20408253,0.0010293145,0.0020314201,0.0017763312,0.041271057,0.0014190922,0.0021665911,0.0050182026,0.0039384384,0.0024663098,0.00023574963,0.0017626899,0.0023534095,2.3058476e-05,0.0031910758,0.0007712271,0.00023059377,0.0052414834,0.00042411365,0.00091956503,0.0067329346
sub_topic_34,0.0004308332,0.00016104312,0.00022050491,0.0014940322,6.4288156e-06,0.8893432,0.0008615708,0.0005823914,1.8231108e-06,0.0004637737,9.54203e-05,3.2949873e-05,0.000119591736,9.536171e-05,9.416948e-06,0.0007627231,0.0017446553,3.413722e-05,0.00026058662,0.0003331591,8.6916596e-05,5.2812784e-06,0.00034942786,4.220877e-05,3.191517e-06
