,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32
sub_topic_10,3.472249e-05,5.4551103e-05,1.01627265e-05,1.5565758e-05,9.006139e-06,4.361216e-05,6.1899635e-05,1.1641991e-05,6.7945343e-06,0.00020219461,2.563848e-05,1.6998312e-05,0.00064749946,0.3802568,3.8369795e-05,0.00010031408,7.885251e-06,3.586226e-05,1.4319347e-05,7.610529e-06,6.14327e-06,0.00044797608,6.1593506e-05,8.717842e-06,2.7252092e-05,4.375928e-06,4.205727e-05,5.1791772e-05,0.00018548123,9.860539e-06,3.648767e-05,1.0113567e-05,3.0570398e-05
sub_topic_11,0.0010509561,8.775174e-05,0.00033900223,0.0016370931,6.968526e-05,0.00045272324,0.00020601167,1.51492095e-05,8.047506e-06,0.0013042544,4.693089e-05,0.00063003734,0.00022763666,0.00034399392,9.972233e-05,4.4671055e-05,0.0015273984,4.4795204e-05,0.0009138898,0.002609952,0.00023906914,0.00015031525,0.00031364372,2.6279373e-05,4.9655515e-05,0.00014728525,8.159207e-05,9.851276e-05,0.00051627716,0.60977167,0.0001225592,0.00054408784,4.8817914e-05
sub_topic_12,0.00026622837,0.0001603597,0.00033389067,0.0007141135,9.881961e-05,8.767817e-05,7.699039e-06,4.033481e-06,6.47754e-05,2.51212e-06,0.00019957667,0.11976279,6.3539214e-06,2.6150927e-05,4.562613e-06,2.938889e-06,0.0005265958,7.592582e-06,0.9813695,0.00025162526,9.7227814e-05,0.0018213192,5.621436e-05,6.2214294e-06,7.979254e-07,8.138186e-05,0.0010059647,1.01901605e-05,2.887374e-05,6.9233865e-05,8.730417e-05,8.688226e-05,2.5514853e-05
sub_topic_13,7.466573e-06,3.983185e-05,1.0390441e-05,0.00021731375,4.1084386e-06,6.601084e-05,1.9604484e-05,2.5271751e-05,5.0147187e-06,1.8106419e-05,1.7216522e-05,2.3606593e-05,3.143358e-05,2.0063286e-05,2.9379367e-05,1.2681373e-06,0.00010779807,5.0999584e-05,7.5429793e-06,3.7646856e-05,0.00029610208,0.00074058375,1.6882736e-05,0.9880396,8.9307105e-06,1.0311358e-05,2.9358454e-05,8.008453e-06,0.00011343077,7.2043294e-06,2.2598837e-05,2.862134e-05,4.139275e-06
sub_topic_14,0.00020703858,0.0005187031,0.00019674799,0.0001904017,0.00011222722,0.00022487063,0.000489123,0.00012028165,0.00022452454,6.56149e-05,0.0001252155,0.00020955176,0.002028988,0.0004117374,0.00022854803,4.462205e-05,0.0002534786,0.0014579522,8.2408864e-05,0.00021564038,0.00012495366,0.00078408,0.0009156688,7.79697e-05,0.00016583742,0.00064869714,9.875166e-05,0.973986,7.839556e-05,0.00037543726,0.00021628838,9.55102e-05,0.00034963773
sub_topic_15,0.0003299661,0.0009837393,0.00029578304,0.0022805862,0.00022862086,0.0018001111,0.0002411238,1.1875873e-06,2.8008303e-06,0.0006470053,1.6631699e-05,5.647924e-06,0.0011957999,0.00021761487,0.00012103418,0.0,0.0023724018,0.0017523108,0.0002788262,0.00088372023,0.94477576,0.00036507676,0.00149635,9.5438016e-05,2.2990005e-05,0.00013252949,0.0002544961,2.3052717e-05,0.00021278359,0.00066736253,8.262331e-05,3.8253296e-05,2.6694952e-05
sub_topic_16,2.9631414e-05,8.361154e-05,0.0017274603,1.203927e-05,9.71253e-06,5.390642e-06,4.0344603e-05,2.4692374e-06,2.1972287e-06,4.5725694e-05,7.1217846e-06,3.5334253e-06,0.82557756,2.48902e-05,1.8272298e-05,3.106654e-07,0.83643967,0.00013245057,1.9589503e-05,2.905357e-05,8.5262516e-05,5.7453526e-05,8.232902e-05,6.61911e-06,1.5211106e-05,1.0039887e-05,2.9011262e-05,1.5434733e-05,4.119176e-05,4.1388048e-05,3.5188874e-05,5.404587e-06,4.7240588e-05
sub_topic_17,0.9698858,6.0835835e-05,0.00014862575,0.00013568047,5.568526e-05,0.00019022082,3.6022262e-05,7.984123e-06,1.5469805e-05,0.0002508271,0.00043415013,0.0007090609,2.3377286e-05,0.0003254164,5.0470575e-05,9.048772e-05,0.00029281576,9.153885e-06,0.00020035602,2.613239e-05,3.734037e-05,0.00012422015,0.0013660516,9.272963e-06,0.00015781277,3.063401e-05,0.000111649846,6.984472e-05,0.0002192288,0.00021770122,0.0005772228,3.7506103e-05,0.00011616629
sub_topic_18,7.9620404e-05,0.00014478946,5.4259453e-05,1.1259713e-05,5.031028e-06,1.41796945e-05,5.1898747e-05,1.08949e-06,0.0,0.4107426,1.7561692e-06,0.0,7.942866e-05,0.00011433339,0.0001904643,3.2348476e-06,0.00020515909,0.00073578255,1.0679318e-05,2.2576187e-05,0.00020635159,0.00032984145,0.0003124723,2.1142136e-05,1.2918068e-05,3.8002136e-06,4.225186e-05,5.7543602e-05,0.00021893698,0.00013827266,1.9802745e-05,7.373727e-06,6.2496138e-06
sub_topic_19,0.00017816742,2.846167e-05,8.405346e-05,0.9805344,3.2802996e-05,0.0014826071,1.2205605e-05,9.771903e-06,5.957824e-06,0.00031561847,0.00077132974,0.002744016,1.1420464e-05,0.00026169402,3.0195142e-05,1.811616e-05,0.0001553274,1.0368069e-05,0.00038775813,0.00015454827,0.0007708998,7.443956e-05,0.0001237824,0.00012459327,9.431716e-05,2.2313743e-05,4.2785156e-05,6.1889456e-05,0.00015437083,0.0004828718,7.996502e-05,0.0006521142,1.3213464e-05
