,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26
sub_topic_10,2.8987355e-05,3.140228e-05,1.5760002e-05,8.962119e-06,2.1321907e-06,9.746442e-06,0.00012381819,1.4221198e-05,1.1202228e-05,0.000114603856,8.1991575e-06,6.087103e-06,1.7770804e-05,0.46689543,6.7870475e-05,0.012323954,2.1659898e-05,4.9997627e-05,3.4515945e-06,5.3028733e-05,7.977776e-06,1.9794163e-05,0.000105596955,1.4527214e-05,3.8802114e-05,5.9961626e-06,5.1776195e-05
sub_topic_11,0.00074413104,6.812306e-05,0.00050406536,0.00023624123,9.648619e-05,0.00014238854,8.4088664e-05,1.2122472e-05,7.631445e-06,0.0007632202,1.0946728e-05,1.37686175e-05,0.000100428435,3.754516e-05,3.7476922e-05,0.0003445357,0.00020014486,2.428165e-05,0.58318245,0.0003441436,0.003222892,8.654451e-05,0.00019726591,2.4561052e-05,4.7074107e-05,0.00043005616,3.7119855e-05
sub_topic_12,3.7236936e-05,6.565496e-05,0.00020509752,0.9750036,1.1673545e-05,0.00014328973,1.3617634e-05,0.0,1.5966978e-05,1.5655147e-06,5.187844e-06,5.743983e-05,1.28521915e-05,2.7060557e-06,9.242024e-07,3.6301842e-06,0.00071062165,3.911852e-06,3.0687064e-05,0.00021350931,2.0240539e-05,0.00012538102,6.2358056e-05,7.5139296e-06,6.2144466e-07,4.921332e-05,0.0001486866
sub_topic_13,0.000878258,8.473237e-05,0.0005783323,0.0008850098,0.00017884682,0.0004705563,0.0018893786,0.00013984634,0.00027095195,9.8439625e-05,0.0004563606,0.5909079,8.636903e-06,0.00013033397,0.00026759223,0.0013131886,0.000177111,1.9854763e-06,0.00018631415,0.00018552181,5.7387388e-06,0.00042099654,0.00013349477,1.9801777e-05,4.8063746e-05,0.00013222445,0.0010137662
sub_topic_14,0.00018756298,0.00015830975,0.00027182663,3.0420075e-05,0.0004895066,2.3005488e-05,0.00017426178,0.0001614899,0.0001562089,0.00013325583,4.366188e-05,8.298708e-05,0.0004596955,0.0004169398,2.2372647e-05,3.885123e-05,4.1206793e-05,0.00035220195,0.0010627285,5.2959986e-05,0.00044684956,0.00011746837,5.271967e-05,7.696254e-05,0.00029753227,0.34637702,7.852406e-05
sub_topic_15,0.00071788696,0.0015144106,0.0006954244,0.0009956032,9.792434e-05,5.485234e-05,0.00043585352,3.9456035e-07,6.281832e-06,0.001444447,1.4982834e-05,0.0,0.011724766,5.560419e-05,0.00012492134,7.8240475e-05,0.00029501203,0.0026775948,0.0038394285,0.00013071334,0.370113,0.0002520225,0.00057265745,3.292909e-05,8.531741e-05,0.0011092444,0.00013143054
sub_topic_16,4.6644698e-05,0.00012367925,4.9781574e-05,6.039246e-06,1.8402022e-07,1.2796267e-05,8.122346e-05,3.2110675e-06,6.3405906e-07,0.23674883,2.6036566e-06,0.0,2.5560326e-05,6.945316e-05,4.990819e-05,1.7715516e-05,5.280309e-06,0.0011287106,4.735376e-06,2.6810714e-05,9.27964e-05,5.052098e-05,0.0001134068,8.7920074e-05,1.5077779e-05,3.1399957e-06,3.832713e-05
sub_topic_17,0.94707024,7.514594e-05,0.00012027425,3.7259313e-05,2.948984e-05,8.849223e-05,7.462588e-05,3.7576592e-06,1.4487108e-05,0.00022744003,0.00011352948,0.00011153611,1.8767232e-05,7.358442e-05,2.9431641e-05,0.00035885573,0.000100255966,9.369146e-06,0.00010314066,5.2765838e-05,1.8990875e-05,7.0702205e-05,0.0009844232,1.1973554e-05,5.6233206e-05,1.4606896e-05,0.000100518475
sub_topic_18,0.00097310514,0.0064488947,0.0044008014,0.0008285041,4.869333e-06,0.00035781154,0.0007997786,1.0295345e-06,3.7300023e-07,0.0073560188,3.1449122e-06,0.0,0.0045714946,0.00030666572,0.00024575804,0.00018418758,0.003830964,0.16481814,0.00033512697,0.00029076127,0.08413573,0.00055294187,0.0025051807,0.0007659295,6.878329e-05,0.00021969281,0.00029067084
sub_topic_19,0.00015860223,8.2023544e-05,0.00016049673,0.0021648898,1.8448465e-05,0.0011531756,4.9859835e-05,1.4995596e-05,9.127627e-06,0.0005676317,0.000108896864,8.0488826e-05,5.269224e-05,5.430257e-05,3.628415e-05,0.0005395545,0.94857347,3.799629e-05,0.00038587628,0.0011315473,0.00012130776,2.4600899e-05,0.00014685272,0.00020474885,0.00012569429,3.5632707e-05,3.5691908e-05
sub_topic_20,1.7648064e-05,0.00033258912,1.6230913e-05,3.2342803e-05,3.3552606e-05,7.1176587e-06,0.0006698777,9.4638235e-05,1.0250196e-05,0.0010652023,0.0027933852,0.0025668067,2.155693e-06,0.00043707236,0.55096394,0.0074329884,0.0001524701,6.283199e-05,3.2826e-05,0.0024290667,4.370472e-05,9.302226e-05,0.00012385783,7.4653195e-05,0.0011841864,9.737238e-05,0.00047189812
sub_topic_21,1.9185882e-05,5.410069e-05,5.178255e-05,0.0008429886,3.7285943e-06,8.885868e-05,1.9968544e-05,6.525754e-05,1.9587029e-05,2.0687594e-05,0.0017521242,3.954695e-05,2.4535454e-06,3.6523368e-05,0.00025261825,3.5236026e-05,0.00081453775,1.47782885e-05,1.848464e-05,0.6960958,1.3868331e-05,3.918494e-05,0.00015007227,0.00014016067,0.00013417375,1.6239112e-05,0.0009724563
sub_topic_22,0.00022868103,0.00026195042,0.00049382687,0.00026978584,4.8797658e-05,0.00018608065,0.00066406274,0.0,3.7419259e-06,0.0009915094,3.6094512e-05,7.0207244e-07,0.00025958428,0.00023898763,0.00021519753,0.0003112548,0.00015144258,0.0006004845,0.0060784975,0.0007222482,0.5241818,9.567049e-05,0.000250464,4.106462e-05,2.6774227e-05,9.743023e-05,5.089394e-05
sub_topic_23,0.0010780428,0.00027715438,0.0023659694,0.0011840885,0.00038201714,0.043596808,0.1032122,0.00014871913,7.9222154e-05,0.0018086721,0.0012501567,0.0021452133,5.7151585e-05,0.0005122589,0.00028767894,0.009817375,0.00061149686,3.3820856e-05,0.0015628,0.003600782,5.9693954e-05,0.0005356655,0.00089050847,0.0003610058,4.178926e-05,7.8778816e-05,0.0030950468
sub_topic_24,6.3685016e-05,0.000113172435,7.626995e-05,0.00090554747,7.2496105e-06,7.339603e-05,0.00049537467,1.1202618e-05,5.5624164e-06,0.00023696644,0.00010868232,3.611923e-05,1.2977986e-05,6.9479174e-05,0.00054103165,0.00041766738,0.00036547755,0.00014497282,0.0031781963,0.2679427,0.0012177045,5.5215634e-05,0.00022082428,9.894214e-05,3.0952295e-05,6.191459e-06,0.0013294005
sub_topic_25,0.00045608115,0.00018128852,0.00042183185,0.00037620997,0.00047562827,0.00010090636,0.00014532903,0.0001125301,0.00034116546,0.00015932183,0.00013442496,0.0006335804,0.000114040966,0.00018790817,0.0003144304,0.0001728308,0.0001945812,4.9230428e-05,0.00029899823,0.000294409,3.0964457e-05,0.00019315549,0.00018244116,9.065772e-05,0.000594186,0.43978858,0.0005393016
sub_topic_26,0.000104056286,7.768362e-05,5.707832e-05,7.5195208e-06,1.1653594e-05,3.450764e-05,0.00042184585,1.0426151e-05,2.2643633e-06,0.71413606,1.7973345e-05,3.6143842e-06,1.7437878e-05,8.180562e-05,9.68953e-05,0.004553625,0.00014165997,1.4931241e-05,4.6479065e-05,8.6189815e-05,2.5139581e-05,2.9401934e-05,6.8732465e-05,7.93519e-06,2.2755772e-05,1.5838464e-06,3.2910724e-05
sub_topic_27,1.5001534e-05,0.48645967,1.6778731e-05,1.2444989e-05,2.7587125e-06,1.2585481e-05,5.0281844e-05,2.6424847e-05,1.5743772e-06,5.71213e-05,1.8007931e-05,2.0093626e-06,4.7933914e-05,2.058265e-05,3.9500006e-05,5.039859e-06,1.3982098e-05,0.00023234228,1.3157998e-06,3.990117e-05,1.1741591e-05,3.738831e-05,6.611924e-05,1.04491e-05,5.314197e-06,4.2682223e-06,0.00027309573
sub_topic_28,5.664088e-05,0.00030393412,3.062374e-05,1.2817753e-05,2.4931329e-05,5.7801695e-05,0.00014985063,2.8017996e-05,0.00016787712,0.00021059255,1.8786664e-05,8.325942e-06,0.00023567777,0.5022196,5.0396986e-05,1.4758521e-05,6.0142407e-05,0.00105703,2.8329248e-05,3.723607e-05,0.00018766255,8.853636e-05,0.00012374653,2.7056643e-05,8.58459e-05,0.0001866654,3.2340304e-05
sub_topic_29,2.3301387e-05,0.00034727648,4.642871e-05,2.7188727e-05,1.5119194e-06,7.103086e-05,3.7597587e-05,8.913062e-06,3.0953372e-06,1.9037378e-05,1.6242338e-05,5.1461e-06,4.125451e-06,1.0533472e-05,6.07676e-05,8.611882e-06,8.032738e-06,9.3584575e-05,1.1739883e-06,7.769057e-05,4.4069056e-06,0.5390054,7.635932e-05,5.8538175e-05,2.1453002e-06,9.172196e-07,0.00063244125
sub_topic_30,0.0029207529,0.001631208,0.0025895354,0.00039173232,0.006048098,0.0006262561,0.0022610733,0.0034878722,0.18321729,0.0013029804,0.0035408507,0.0031967948,0.0048427605,0.0031598292,0.00096113875,0.0021447358,0.0016259068,0.00023402616,0.0012111046,0.0015589214,0.00036435612,0.0016503413,0.0009038533,0.0013600908,0.0073845745,0.0018380418,0.0033473098
sub_topic_31,0.00010844458,8.0276615e-05,0.00053045753,0.00024836083,3.5834586e-05,0.00030875255,4.8686572e-05,0.000103043894,9.251775e-06,0.00021426388,3.0539127e-07,0.0,0.00037342147,1.0535538e-05,3.8351764e-06,6.028626e-06,0.00020689121,0.00012140362,0.00016362392,0.00017938242,0.0035615128,2.7600963e-05,4.967396e-05,7.255599e-05,0.00018970079,0.20195766,0.00012025735
sub_topic_32,0.0015091834,0.00074851804,6.133717e-05,6.7748464e-05,4.824677e-05,1.0226659e-05,0.00071416347,8.912514e-05,1.7502007e-05,0.005858237,0.004106306,0.008734208,4.510399e-06,0.005397159,0.12413577,0.049209695,0.0009521021,0.00011247779,3.4160876e-05,0.0018711142,5.715807e-05,0.00040176255,0.0028797023,8.1657345e-05,0.008207822,0.00010695051,0.0002260764
sub_topic_33,0.0024047398,0.0008501137,0.0013253265,3.8075217e-05,0.014155858,0.0005646761,0.0014417297,0.22578269,0.0135765225,0.0012048131,0.0015536442,0.007943951,0.00057835534,0.0022820462,0.00024401455,0.001852871,0.0016000675,1.3597515e-05,0.0014976065,0.0010520922,3.9017672e-05,0.00094192696,0.00024176121,0.00059880345,0.009373177,0.001817505,0.0015411724
sub_topic_34,9.823105e-05,9.894268e-05,0.00011891759,0.0016830981,4.2921652e-05,0.66183895,0.00020279664,8.6056325e-06,1.5053134e-06,0.00013452693,1.7502063e-05,1.6525677e-05,2.2668935e-05,2.1271433e-05,2.6221487e-06,0.00014842847,0.0018051666,3.4746652e-05,4.5033285e-05,0.00060117984,3.376563e-05,0.00013339122,0.00010913557,0.00017919268,2.5157555e-05,2.426375e-05,0.0005035863
sub_topic_35,6.163832e-05,1.2671981e-05,0.9195792,1.5005799e-05,1.373163e-06,2.5111447e-05,1.5697136e-05,1.2628573e-06,2.4546682e-06,2.4467794e-05,0.0001887893,1.3815392e-05,2.8787701e-05,5.9008516e-06,4.2778e-06,1.7158643e-05,3.5155383e-05,4.607812e-06,1.4072303e-05,2.8276145e-05,6.073871e-06,0.00010531843,0.00012680894,3.0015483e-06,4.1058196e-05,8.259079e-06,7.250066e-05
sub_topic_36,0.00039506808,0.009139172,0.0008286554,2.4894967e-05,1.544554e-05,0.00014924243,0.00031743807,0.000115931914,3.3748114e-05,0.0007238999,0.020606065,0.0008657812,3.0911302e-05,5.6470613e-05,0.30221692,0.000743913,4.3211432e-05,0.00024263107,1.0807859e-05,0.007100224,3.915657e-05,0.002292992,0.0019631507,0.00022484225,0.00015348762,2.9613242e-05,0.0056333803
sub_topic_37,0.0009893506,0.0005530847,0.00051245646,0.001212136,0.97135264,0.0022345616,0.00066800637,1.1886818e-05,0.00053158327,0.00039765926,0.00036956472,0.0001992105,0.002423302,0.00022475027,0.0001110324,0.0006630489,0.00040281084,3.4934572e-05,0.0004789849,0.00026115729,0.00039663384,0.0004809639,0.0002183193,0.00026273358,0.00015663449,0.00074994017,0.0012259957
sub_topic_38,5.840586e-05,0.47078323,2.0363153e-05,3.5380457e-05,4.9380124e-06,7.827933e-05,9.4791765e-05,2.9186302e-05,1.760258e-05,6.703892e-05,5.4648168e-05,3.386913e-06,4.684651e-05,6.84732e-05,0.00013073927,7.760505e-06,2.0862566e-05,0.00041540043,2.5549812e-06,9.190347e-05,1.0230195e-05,7.244859e-05,0.00015788083,3.7610927e-05,8.087108e-06,5.187136e-06,0.0009020586
sub_topic_39,0.00015909357,0.0046920837,0.00071098853,0.0005721938,2.8383238e-05,0.00014119802,0.0005638805,6.088537e-06,1.9004445e-05,0.0013278626,1.8647737e-05,4.815466e-07,0.003749885,0.0005938695,0.0006847975,3.3985383e-05,0.00044244473,0.31184205,1.7432272e-05,0.0003023867,0.0050977613,0.000636393,0.0011557215,0.0005410881,0.00049627054,0.00014644173,0.0008680531
sub_topic_40,0.003045033,0.0007035918,0.00071176805,0.008752411,0.0012632802,0.00025214723,0.0006280094,6.4966036e-05,0.046246614,0.00013906312,0.000256494,0.0007813685,0.0014608557,0.0006566147,9.792346e-05,0.0001820643,0.00057585444,0.0002494898,0.0008012379,0.00073215616,0.00074477604,0.013779765,0.013209313,0.0005229737,8.953642e-05,0.0006766355,0.0045119817
sub_topic_41,0.00025681645,0.00076977524,0.0006058072,0.00042515036,0.00029455984,2.7610886e-05,0.000626793,4.312046e-06,0.00012757319,0.00040130655,0.00016196385,4.411772e-06,0.96131074,0.000117760355,7.417296e-05,0.000103165716,0.00045546656,0.00039477448,0.00014086218,0.0002181526,0.0012590513,0.00018773587,0.0006287326,0.00016071515,0.00037530603,0.000120327524,0.000192015
sub_topic_42,0.0008279823,6.269921e-05,4.6635367e-05,1.6748398e-05,2.164263e-07,0.0002119924,1.4217385e-05,1.6335218e-07,1.8874748e-06,0.00010699608,0.000106932566,2.0299649e-05,3.604608e-06,4.1229214e-05,3.877191e-05,6.36355e-05,2.136055e-05,0.00016369222,1.675958e-05,2.7692493e-05,2.4763354e-05,4.1623338e-05,0.39492917,5.3037274e-07,1.2798503e-05,2.1896942e-06,3.643054e-05
sub_topic_43,0.00091293745,0.001124834,0.00058329996,0.0006235136,0.0010886474,0.00025434676,0.0011557263,0.0027871337,0.7509181,0.00038934028,0.000565618,0.0010452921,0.0006844046,0.0022568414,0.00018461814,0.0002872154,0.00076425745,0.00014789855,0.00066418137,0.00066121924,0.000355711,0.0007609045,0.00043126833,0.002478805,0.0006712658,0.001235854,0.001638052
sub_topic_44,8.702072e-06,4.0935774e-05,1.5993843e-05,4.830233e-05,1.9232102e-06,0.00017280651,0.00018071233,2.2219504e-06,2.9542343e-06,2.8926743e-05,5.736557e-06,0.0,1.1291177e-05,1.21955845e-05,1.6434622e-05,1.4124321e-05,0.00081138895,6.935643e-05,2.1178157e-06,0.0001047557,4.293735e-05,2.9363136e-05,1.85471e-05,0.98893464,7.531408e-06,2.2911408e-05,3.5266152e-05
sub_topic_45,0.011975245,0.00039666562,0.0047183493,0.0008975428,6.27143e-05,0.27826342,0.011386627,1.0321914e-05,1.7757093e-06,0.013900422,0.00012208533,0.0003035762,0.00012379383,0.0009456819,4.864987e-05,0.020432781,0.00061964674,2.070718e-05,0.01286923,0.00083589146,0.0015081593,0.002285398,0.0013081112,6.8534784e-05,1.28093925e-05,1.3142031e-05,0.00060837314
sub_topic_46,0.00021909979,3.1762524e-05,0.00025600856,0.00017285529,2.6882779e-05,4.073311e-05,0.00020926863,1.829248e-05,2.284047e-05,0.00042481645,9.134183e-05,5.3522235e-05,3.082436e-05,9.726424e-05,5.5690925e-05,0.0005041363,0.0032093928,7.677562e-06,0.38024235,0.003666448,0.0018589066,2.2877894e-05,0.00014626434,1.5994652e-05,8.003151e-05,3.4091874e-05,2.7208824e-05
sub_topic_47,0.00029904096,0.00016845849,0.0018231766,2.222521e-05,6.874782e-05,6.9478294e-05,5.413325e-05,0.00012761599,0.00016644126,0.00014172174,0.90641534,0.0026905353,2.3344553e-05,4.5371293e-05,0.0030811082,0.0006553028,0.00021075825,1.3637337e-05,4.690845e-05,0.0018684943,7.401713e-06,0.00031658704,0.0021374403,3.0153524e-05,0.0019920839,3.2257245e-05,0.00058676105
sub_topic_48,8.472075e-05,0.00037844028,0.00021763133,0.00016224115,9.089398e-06,8.401441e-05,6.4297026e-05,2.0783948e-05,2.079754e-05,2.0892008e-05,9.45797e-05,3.2932563e-05,1.3497358e-05,3.087705e-05,5.3466556e-05,2.8035049e-05,2.7532513e-05,3.579053e-05,1.4271948e-05,0.0006089212,6.7448264e-06,0.00070381555,0.00033677422,2.5601868e-05,3.4704758e-06,1.3697304e-05,0.7203881
sub_topic_49,0.00010299551,1.395444e-05,0.0006401841,1.2676753e-05,2.4083986e-06,1.3565445e-05,4.286423e-05,2.4004152e-07,4.062138e-06,1.7132234e-05,5.045256e-05,4.4317465e-05,2.1359896e-05,1.0073584e-05,7.809698e-06,2.7163995e-05,1.0950918e-05,5.899972e-06,4.5955394e-06,1.1632007e-05,3.0125095e-06,0.41185066,0.00033974386,5.06265e-06,6.3204016e-06,4.492534e-06,0.00018007384
