,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31
sub_topic_10,8.377861e-05,4.013095e-05,2.4208222e-05,4.4522625e-05,2.7994567e-05,3.249152e-05,7.804826e-05,4.298272e-06,5.5408286e-06,0.0010227347,2.6466094e-05,1.7627657e-05,1.9369572e-05,0.9552237,8.881525e-05,0.00066123187,2.0662508e-05,2.3191496e-05,4.629538e-05,1.622843e-05,1.419044e-05,0.00010884364,0.00033152485,5.1500565e-06,0.00011749313,5.9367003e-06,3.2595708e-05,4.168518e-05,0.00065927306,4.4507044e-05,2.2090158e-05,4.2240445e-05
sub_topic_11,0.00030988452,7.197165e-05,0.00042642644,0.0007516961,7.646868e-05,0.0001702281,0.00016629667,1.1892784e-05,8.121885e-06,0.00076466106,1.919941e-05,0.00046899583,0.00016008329,0.00018620463,7.790688e-05,2.4519804e-05,0.00022083083,4.84715e-05,0.00142104,0.0027288094,0.0002512309,0.00037752063,0.000194273,1.2069905e-05,2.97565e-05,0.00024741245,6.483841e-05,5.4125303e-05,0.00031119582,0.6109215,3.2288637e-05,0.00031675078
sub_topic_12,0.00014120931,9.9404286e-05,0.00018723051,0.0016615059,7.078139e-05,3.1246334e-05,4.451737e-06,6.912527e-07,6.836017e-05,1.1571902e-06,8.806583e-05,0.5854904,3.464048e-06,1.7843224e-05,3.3244369e-06,8.641339e-07,9.1309324e-05,2.6961195e-06,0.97092843,0.00013100108,5.0778595e-05,0.0014870877,2.6944701e-05,1.3228304e-06,5.528314e-07,7.9531e-05,0.00025553512,5.671573e-06,1.9716588e-05,4.1208943e-05,2.826998e-05,2.7656493e-05
sub_topic_13,5.0730405e-06,4.8188176e-05,1.2477613e-05,0.00013926702,2.9940009e-06,4.1223688e-05,2.3762474e-05,5.063844e-05,1.0934902e-05,1.6920461e-05,1.24920025e-05,1.7604425e-05,8.178389e-06,2.346151e-05,2.9450479e-05,1.1765951e-06,2.6896883e-05,4.3660075e-05,1.5992615e-05,5.3352647e-05,0.00024764403,0.00047987734,2.860699e-05,0.988885,1.1009857e-05,1.0787408e-05,3.250335e-05,1.17913405e-05,0.000100616926,4.8866127e-06,1.2638698e-05,2.7626465e-05
sub_topic_14,0.00013904017,0.0005584224,0.00022579807,0.00016483443,0.00012494996,0.00021883863,0.0005294732,0.000114771654,0.0002748235,5.7131532e-05,0.00012803606,0.00036281836,0.0005119259,0.00044761674,0.00023975669,3.865615e-05,0.00019556985,0.0015778765,0.00013208957,0.00022407688,0.00015024842,0.0011145904,0.0007130815,7.809531e-05,0.0001764203,0.0007769357,0.00010455871,0.9819073,7.811823e-05,0.00036837973,9.7137214e-05,8.741257e-05
sub_topic_15,0.00012584226,0.0006632139,0.0003314446,0.00217572,0.00018035123,0.0022554954,0.00012970368,6.373574e-07,2.8349975e-06,0.0003515471,1.5329173e-05,1.1268137e-05,0.0002581729,0.00018958423,0.00015120623,0.0,0.00044572982,0.0015577857,0.0007022038,0.00051961077,0.8912353,0.00034209384,0.001367486,7.871449e-05,1.683325e-05,4.8805214e-05,0.00019277654,1.600465e-05,0.000141252,0.0003027763,4.0319523e-05,3.7473255e-05
sub_topic_16,1.46298435e-05,0.00042842655,9.7273805e-05,1.1258373e-05,4.1487e-05,1.3493705e-05,0.00019297005,1.4241961e-05,8.9490095e-06,5.860752e-05,1.2593729e-05,7.3648816e-06,0.9763255,5.609968e-05,3.3523473e-05,1.7506001e-06,0.00018159658,0.0025109153,0.00010182856,7.3330455e-05,0.00012116861,0.00027130233,6.0621314e-05,1.5145887e-05,9.101093e-06,1.49368025e-05,6.648671e-05,6.7001994e-05,5.6988545e-05,6.3232386e-05,2.4952678e-05,8.993391e-06
sub_topic_17,0.936776,5.288682e-05,0.00018858006,7.21735e-05,5.0528713e-05,0.00011070645,3.3421147e-05,1.0540825e-05,1.7119131e-05,0.0002043911,0.0002845012,0.0003797795,1.4490024e-05,0.00028099728,5.4910095e-05,8.266646e-05,7.11918e-05,6.9196617e-06,0.0010282793,2.8244074e-05,2.4170378e-05,0.0002632255,0.002850407,6.8465197e-06,0.00011520377,2.582195e-05,0.00014686737,4.4489334e-05,0.00020607469,0.00011620068,0.00023310873,2.1114354e-05
sub_topic_18,0.00013216278,0.00065283524,0.00035660464,3.7070407e-05,2.9986097e-05,2.1828326e-05,0.00018457012,2.962347e-06,9.001242e-07,0.1665372,8.39454e-07,5.748148e-06,0.00029535807,0.00022301404,0.00058555504,2.0526397e-06,0.00051629776,0.010663417,0.00012637059,0.000119992415,0.0015163565,0.0009972795,0.0015768451,9.149821e-05,2.4749748e-05,2.4233172e-05,0.00011396551,4.3291362e-05,0.000130866,0.00031601946,2.8467426e-05,9.4750785e-06
sub_topic_19,8.244428e-05,2.1574448e-05,9.9246194e-05,0.97269505,2.4007155e-05,0.0011839742,8.80664e-06,5.6348495e-06,5.22076e-06,0.00023745191,0.00067901297,0.00083646417,5.1258753e-06,0.00020734456,2.6351292e-05,9.574613e-06,2.6870222e-05,8.173243e-06,0.00036195666,0.00034452998,0.0009450601,6.106957e-05,0.00013955234,8.2130246e-05,6.0309783e-05,1.9760535e-05,3.3393157e-05,2.9173407e-05,0.00011132624,0.00031084224,4.1058454e-05,0.0005225526
sub_topic_20,0.0010402494,0.00019579593,0.0011223473,6.21841e-05,0.00013330783,0.00049230875,0.0003147276,0.000252702,0.00011871378,0.00056738284,0.003761716,0.043219205,1.3327938e-05,0.001862852,0.004557631,0.9472941,1.3352958e-05,3.4327613e-06,5.4759066e-06,0.00010011177,1.0248378e-06,0.010983896,0.00023706182,7.845621e-05,0.0029908365,0.00017723432,0.0028424677,0.00019384029,0.0017171266,8.725662e-05,0.002614813,0.0045006843
sub_topic_21,0.00019950529,0.00034296577,0.0007964012,5.9255497e-05,3.3374246e-05,0.00015394553,2.9658662e-05,1.871647e-05,1.3824094e-05,2.19538e-05,0.00043837636,0.00033573518,2.6336471e-05,7.151537e-05,0.00020312078,7.425182e-05,3.8562594e-05,4.057598e-05,0.00032704603,0.00048098882,3.369715e-05,0.012948413,0.00031241588,1.556688e-05,2.0147431e-06,9.433582e-06,0.9383995,1.5106736e-05,0.00012337348,2.1798205e-05,0.00068336196,8.3331906e-05
