,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
sub_topic_20,0.26143813,0.00013492873,0.00017331903,0.000108060376,0.00018193577,0.00018474692,3.6909187e-05,0.000194454,0.00059349043,0.00034822765
sub_topic_21,0.00050218264,9.159476e-05,0.0006952873,0.07784962,0.0004898985,0.0073660985,2.9101993e-05,0.0016451443,0.0006228694,0.0021309508
sub_topic_22,0.0001792295,0.00021287751,0.00039292578,0.18209596,5.908079e-05,0.00023044426,0.0012207166,0.00013807611,5.6310397e-05,0.0013259964
sub_topic_23,0.0071736355,0.006874595,0.0027859877,0.00023115013,0.0008567528,0.003126483,0.0005962229,0.05651144,0.0013338767,0.01227308
sub_topic_24,3.1503965e-05,3.8293587e-05,0.00012347742,0.040595096,9.673628e-05,0.00054313417,8.163711e-05,0.030376934,0.0001478879,9.985516e-05
sub_topic_25,0.00017861163,0.0009393723,0.0018282929,0.15599611,6.702274e-05,0.00074524805,7.3024785e-05,6.409127e-05,0.000935909,2.4973448e-05
sub_topic_26,8.2124374e-05,0.00013870554,6.653668e-05,3.3054373e-05,0.00031495647,7.315365e-05,3.3268625e-05,0.000166256,4.5856297e-05,0.38145816
sub_topic_27,2.503416e-05,0.28815556,7.538519e-05,1.911156e-05,3.6316396e-05,5.2510317e-05,0.0013277499,4.021425e-05,1.9605315e-05,0.00013399149
sub_topic_28,9.015147e-05,0.20369548,9.606943e-05,4.8912083e-05,0.00010928997,0.00015302117,0.00040395674,0.0017056818,0.00015323119,0.00019585555
sub_topic_29,5.031998e-05,0.2417822,0.00022064234,1.5058932e-05,2.3346325e-05,0.00022152963,0.00031259848,0.0002761104,6.779345e-05,8.987542e-05
sub_topic_30,0.00067108823,0.00048094316,0.0038501585,0.00069636933,0.0027779776,0.00031624193,0.00024483746,0.0021647557,0.14227211,0.0005773954
sub_topic_31,0.0005872423,0.0003199565,0.0010451813,0.24168378,6.93311e-05,0.00012499366,0.0010782278,2.6154927e-05,6.1330014e-05,0.0006517634
sub_topic_32,9.203115e-05,0.000991842,0.00011492049,6.061198e-05,0.000350027,0.00014335939,1.426677e-05,0.2777205,0.00063422,0.0008383325
sub_topic_33,0.0006243106,0.0009834489,0.0014676213,0.00043800956,0.34419057,0.0007549367,7.998207e-05,0.0010481299,0.0019065791,0.00021022826
sub_topic_34,0.00036199758,0.0001797266,0.00024004205,0.00016835799,2.3628303e-05,0.38952026,3.826733e-05,0.00033567965,3.6324807e-05,0.00030923408
sub_topic_35,8.529224e-05,4.5947898e-05,0.7785556,5.4136253e-05,2.3161077e-05,3.6666625e-05,3.653123e-05,4.6836692e-05,0.00018835568,4.0999763e-05
sub_topic_36,0.001072958,0.0015760632,0.004994726,8.283296e-05,0.0021128033,0.00018611416,0.00013962066,0.06597998,0.039003614,0.0015423509
sub_topic_37,0.002431613,0.0020552245,0.0015430917,0.0020976504,0.00041479213,0.09697797,0.0005612558,0.0015383214,0.000988709,0.0009733967
sub_topic_38,0.00014299934,0.19071117,9.167563e-05,2.3653703e-05,7.611626e-05,0.00033237223,0.00082449033,0.0012774754,6.320509e-05,0.0001979968
sub_topic_39,0.00011590367,0.007685593,0.0013888638,0.0016180488,4.9465685e-05,0.0005193968,0.30779698,9.595855e-05,0.000102170095,0.001311881
sub_topic_40,0.018411689,0.00017295219,0.00025589566,8.197582e-05,1.41797145e-05,0.00017338713,0.00011002931,0.00048315604,0.05017603,2.450966e-05
sub_topic_41,2.1160145e-05,0.00014344552,3.3368127e-05,1.4627626e-05,0.0014535438,8.963895e-05,0.075943634,4.111722e-05,2.6959064e-05,0.00018734699
sub_topic_42,0.00019497988,0.00057913887,7.1018185e-05,0.00012392495,0.02886799,9.3614835e-05,3.1529013e-05,0.04419386,0.006862065,0.020917835
sub_topic_43,0.0011794905,0.00042966256,0.0011740313,0.0011716002,0.0014214809,0.0012045441,0.00014880132,0.00081460905,0.00039717337,0.14362876
sub_topic_44,0.00012538825,0.000119841556,0.0002651041,0.004255781,6.522623e-05,0.07215799,4.519516e-05,0.00020152271,0.0002649826,0.00014942687
sub_topic_45,0.0051072147,0.000373818,0.0023359244,0.12575606,6.423017e-05,0.0016910168,0.0003401095,5.0313974e-05,4.288121e-05,0.004062681
sub_topic_46,7.330343e-05,0.00029155664,0.00021768243,0.00082388654,0.0005650235,0.0014386422,2.3506087e-05,0.13782452,0.0017995088,0.00026640363
sub_topic_47,0.0023564263,0.00037140772,0.005989781,9.128799e-05,0.008151327,0.00010570767,1.069897e-05,0.08016121,0.038526747,0.0012389971
sub_topic_48,0.00012032074,0.00095625763,0.00011934655,6.753335e-05,5.0004273e-05,0.00021812599,3.85116e-05,0.207808,0.00016280361,6.139554e-05
sub_topic_49,8.844496e-05,9.608574e-05,4.212315e-05,1.1177141e-05,8.9346695e-06,0.0009758264,0.00087180774,8.1263854e-05,0.110220365,4.5352386e-05
