,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34
sub_topic_10,4.4497407e-05,3.0189529e-05,7.3413253e-06,1.323638e-05,3.292507e-06,3.6548856e-05,4.5722292e-05,2.3473272e-06,9.1298625e-07,0.00049245136,1.9501567e-05,0.0,1.155792e-05,0.5171735,4.7303096e-05,0.000121276236,9.5266105e-06,2.0201667e-05,7.118874e-07,2.6573008e-07,3.4756874e-06,4.6326197e-05,4.3272405e-05,2.4598853e-07,7.99364e-05,2.4289093e-06,9.1807715e-06,1.1600889e-05,0.0006598072,1.8951132e-05,2.2585316e-06,1.00759e-05,1.9434672e-06,9.840703e-06,1.1884464e-05
sub_topic_11,0.0011757461,5.6013167e-05,0.000564877,0.0009887423,4.3357937e-05,0.00072444294,0.00011473644,1.0145848e-05,1.7231653e-06,0.0012636962,6.071523e-05,2.6756832e-05,0.000103108636,0.00024412056,5.5529254e-05,5.0626328e-05,0.000431103,3.0889354e-05,0.007860676,0.00077568373,0.00019386501,0.000105925916,0.00016594685,1.3670412e-06,4.824202e-05,5.0727693e-05,3.0385887e-05,3.915727e-05,0.0003017608,0.47839206,8.980387e-06,0.00022142312,2.8757475e-05,5.4858614e-05,0.0001059039
sub_topic_12,9.4797266e-05,9.6734024e-05,0.00036969758,0.0002314852,3.494758e-05,7.8721234e-05,2.701792e-06,9.359016e-07,3.264469e-05,2.4091175e-06,1.533722e-05,0.00073332957,1.2699107e-06,8.355644e-06,2.3096554e-06,1.3571445e-06,5.2463856e-05,1.6372279e-06,0.97894657,0.00015011437,4.6092184e-05,0.00013928919,9.650797e-06,0.0,6.699021e-07,6.110415e-05,0.00010457703,6.4533347e-06,8.097456e-06,0.00015255438,1.5951913e-07,3.2112006e-05,7.4749337e-06,0.00017542709,4.708373e-05
sub_topic_13,0.0,4.7680096e-06,2.3747397e-07,0.00019298242,0.0,0.00020202178,1.585139e-05,0.0,2.1077354e-07,3.3750018e-06,1.6678202e-06,0.0,0.0,9.358897e-07,1.0377426e-05,0.0,7.286667e-06,9.81972e-06,0.0,8.78843e-06,9.122366e-05,1.6301225e-05,0.0,0.602079,1.1927575e-07,7.0491e-06,4.964692e-06,0.0,1.10622095e-05,3.927878e-07,3.6558706e-07,8.296077e-06,0.0,7.4971416e-07,6.862539e-05
sub_topic_14,9.186676e-05,0.0005000884,0.000129326,8.157405e-05,5.7767385e-05,0.0010696212,0.00032920067,7.8125384e-05,0.00013795539,3.0932242e-05,5.479009e-05,3.9322033e-05,0.000410162,0.00026801907,0.0001564806,3.0575407e-05,0.00017997717,0.001194315,5.9422357e-05,0.00047710756,0.000115118826,0.00018725378,0.0001239322,3.1705997e-05,8.678038e-05,0.00046162246,5.0455576e-05,0.9653552,3.128277e-05,0.00021678924,6.850196e-05,5.2639138e-05,0.00014233025,4.4913373e-05,3.254091e-05
sub_topic_15,0.0006328865,0.0019838335,0.0005160195,0.0009695606,0.00041988416,0.0011694875,0.0011430002,0.0,5.091133e-06,0.0017791461,2.2646436e-05,4.0329877e-07,0.0013607406,0.00037480055,0.00014551668,1.127599e-06,0.005310415,0.003760512,0.0008696485,0.0029691185,0.90227914,0.00037300293,0.0017445777,3.4420268e-06,3.857e-05,0.00031581937,0.00017895317,4.5557295e-05,0.00028946187,0.004322808,5.9229674e-06,2.8286675e-05,5.393351e-05,0.00025754093,6.172265e-05
sub_topic_16,6.290402e-06,0.00011545225,5.155238e-05,6.8665986e-06,5.7601715e-06,2.049321e-05,4.9321854e-05,8.612776e-06,2.415921e-06,1.6500066e-05,4.4945127e-06,0.0,0.8956432,3.1609867e-05,1.8919245e-05,2.2233437e-06,0.00011792368,0.0011502588,3.7102016e-06,1.182095e-05,2.6504567e-05,2.07316e-05,1.4033145e-05,3.4798395e-06,1.5230584e-06,3.5998396e-06,2.6836375e-05,3.8104692e-05,2.2334021e-05,9.633729e-06,6.1290293e-06,3.1057784e-06,8.84073e-06,1.6924778e-05,9.489919e-06
sub_topic_17,0.8902517,2.3747714e-05,8.4845764e-05,5.4530465e-05,2.1063908e-05,0.00010445161,9.965527e-06,1.6623734e-06,6.3216708e-06,0.00011884299,0.00064737094,2.9123781e-05,4.8371166e-06,0.00014036438,1.9480809e-05,1.6501848e-05,4.1627252e-05,3.3163062e-06,5.0192546e-05,1.00476245e-05,1.2600618e-05,2.6064376e-05,0.0002997591,0.0,6.962692e-05,1.42843355e-05,3.526168e-05,1.2268238e-05,8.435857e-05,8.2744154e-05,5.4773477e-06,1.0317585e-05,2.1350472e-05,0.00025067173,3.3589742e-05
sub_topic_18,4.0814626e-05,0.00012231425,4.5093784e-05,7.0301244e-06,2.2620454e-06,7.188407e-05,4.8025016e-05,9.0636144e-07,0.0,0.23569594,3.886048e-06,0.0,9.8115315e-06,6.776376e-05,0.00010168489,1.6667628e-06,8.120389e-05,0.0010606152,3.421769e-06,1.3701621e-05,0.00020604774,0.00010995346,0.00023633029,1.759947e-05,1.0348469e-05,2.8809125e-06,3.139248e-05,2.1509242e-05,4.8826645e-05,5.7091835e-05,1.2845923e-06,2.4960789e-06,3.4499526e-06,8.403935e-06,4.265167e-06
sub_topic_19,0.010968458,0.001202552,0.006990551,0.08875517,0.0002552414,0.014326705,0.00026687697,4.806609e-06,6.0463003e-06,0.020319326,0.0042488566,0.00021175212,0.00041706132,0.004448839,0.00049259275,0.00011402672,0.002701715,0.00031295867,0.00020627747,6.423277e-05,0.0030973693,0.00093980186,0.001037433,5.444661e-06,0.00023505076,1.4628116e-05,0.00021211636,0.0004483871,0.0031726772,0.019343693,4.411874e-05,0.00016822314,0.00020313697,0.0014693091,0.0015303455
