,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27
sub_topic_21,2.9606379e-05,6.359386e-05,8.879007e-05,0.0011060699,5.7821585e-06,0.000116259536,7.1048285e-05,8.94722e-05,2.5433934e-05,5.2934145e-05,0.002493751,0.000107163236,7.0529018e-06,0.00012216141,0.00062849943,5.993063e-05,0.00082409556,3.6602472e-05,0.00025624482,0.9643977,0.00011225812,5.0740462e-05,0.00023639861,0.00015092616,0.0001265236,1.7286013e-05,0.00097648107,2.9197734e-05
sub_topic_22,0.00034334816,0.00062424527,0.00080400193,0.0003759474,8.626555e-06,0.0002811093,0.00084958685,0.0,5.8621245e-06,0.003408895,5.6922265e-05,3.6757579e-06,0.0005903383,0.00078096177,0.0003401328,0.00014237565,0.00037313782,0.0017709715,0.0088413665,0.0013461296,0.681467,0.00018275237,0.0007453233,3.7148497e-05,4.493372e-05,0.00011070339,0.000101798505,0.00019530396
sub_topic_23,0.0032521375,0.00027893204,0.0057967263,0.0013988409,0.0001750764,0.16930805,0.095227115,7.137587e-05,4.3755088e-05,0.0015102688,0.0010000167,0.003016266,8.585113e-05,0.002271548,0.0001701772,0.03242063,0.0007671461,1.699165e-05,0.00792937,0.005479548,0.00044282858,0.001407183,0.001450521,0.0001269629,3.641845e-05,4.387476e-05,0.0017947251,0.007864255
sub_topic_24,4.2979675e-05,0.00037981573,0.00013894835,0.00020821398,1.1565451e-06,8.885222e-05,7.010055e-05,0.00010602378,4.3927037e-05,4.2449323e-05,0.0004507263,5.8250946e-05,2.3769826e-05,5.803821e-05,0.00027430063,4.5495337e-05,3.8345883e-05,0.000113091046,1.6852055e-05,0.0042650728,1.7929726e-05,0.00047201558,0.00047594652,7.2157236e-05,9.48096e-06,1.8272682e-05,0.31048417,2.1733053e-05
sub_topic_25,0.00043110087,0.00022450916,0.0005924396,0.00065556576,0.00029426822,0.0003767148,0.00015422606,0.0001529274,0.00044319662,0.00013343572,0.00012402359,0.00043465866,0.00024370366,0.00021766158,0.00026097024,0.00022533983,0.00026787218,6.2155734e-05,0.00030002787,0.00042512486,7.73369e-05,0.00021120765,0.00022636246,0.00014173209,0.00088061916,0.5076247,0.00061440567,0.00024414502
sub_topic_26,0.00017856304,8.5485204e-05,0.000103537706,1.3936743e-05,6.413993e-05,8.965787e-05,0.0004836417,2.9713547e-05,2.1828691e-05,0.007764396,5.411507e-05,2.1724489e-05,5.2240903e-05,0.0010349267,0.00015059489,0.0010975854,0.0004120742,1.2235157e-05,0.00011539301,0.00011412958,1.9003302e-05,4.7033158e-05,0.00010165518,1.0118064e-05,0.00012441192,1.07527785e-05,4.307011e-05,0.9549908
sub_topic_27,3.3154305e-05,0.9635402,2.7021382e-05,2.780001e-05,3.4770362e-06,5.1920422e-05,9.007776e-05,8.166523e-05,8.24437e-06,8.097319e-05,8.931378e-05,7.576366e-06,6.183962e-05,5.192623e-05,0.0002003702,5.331066e-06,1.970129e-05,0.00046991496,2.9081966e-06,6.439299e-05,1.5222082e-05,6.819914e-05,0.00014505995,2.8991255e-05,7.3320957e-06,8.21336e-06,0.0006368779,3.5854096e-05
sub_topic_28,0.00017016001,0.0006198395,0.0005247974,0.00031173392,0.00022621946,0.00032147527,0.00034207845,3.5904468e-06,0.00030766666,0.00010021898,0.00024688258,2.9826535e-05,0.6802888,0.0001591334,8.402472e-05,4.9574228e-05,0.00014142916,0.00037056752,8.160258e-05,0.00013638313,0.00016075744,0.00020508401,0.00021375794,9.410917e-05,8.9849156e-05,0.0002011277,0.00031429462,0.00038873215
sub_topic_29,2.442249e-05,0.00037206328,6.0817e-05,2.7850856e-05,6.2809715e-07,8.734669e-05,3.6523114e-05,2.0777657e-05,5.924272e-06,2.9589482e-05,4.7152895e-05,1.6522921e-05,5.653533e-06,1.4173918e-05,0.00010408742,1.6927752e-05,1.0522999e-05,9.583203e-05,1.8901258e-06,8.1629136e-05,4.6818227e-06,0.5051128,0.00012208681,5.7966354e-05,2.9397506e-06,1.4744406e-06,0.00065709616,1.0566858e-05
sub_topic_30,0.0021346386,0.0019719254,0.0013581899,0.0013473271,0.0019292133,0.0004886726,0.0020698123,0.004993507,0.98890144,0.00018289236,0.0013017724,0.0026894426,0.0020196862,0.0036420885,0.00048796315,0.0005922829,0.0014196105,0.00020806585,0.0013229782,0.0012205035,0.00057337683,0.0019585076,0.0010081567,0.00386653,0.0017503632,0.0023469187,0.0034406113,0.0019443383
