,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37
sub_topic_21,5.925198e-05,3.2672477e-05,9.393073e-05,0.0016714708,1.3399523e-05,0.0003514627,6.1216306e-05,1.6793034e-05,1.7767334e-05,0.00016178902,8.34022e-05,6.0242386e-05,0.00010607379,0.00026446977,9.06489e-05,4.484665e-05,0.00029930304,2.096523e-05,0.00018330193,4.4966542e-05,6.922225e-05,4.7933863e-05,0.00012427477,7.789969e-05,0.0001495162,2.7573005e-05,0.00043612858,8.150633e-05,0.0002488433,0.0027259416,8.508789e-05,0.0023066222,3.94674e-05,9.3335286e-05,0.000129467,0.9717288,0.00023018132,2.9755724e-05
sub_topic_22,6.028231e-05,9.890406e-05,8.159053e-05,2.5792282e-05,1.1077286e-05,8.015696e-05,2.0619811e-05,3.1060292e-06,8.981089e-06,6.1918625e-05,0.00074619765,7.578498e-06,4.247519e-05,0.000105154846,0.00019970283,1.2982524e-05,0.00019027271,0.00011551166,3.591215e-05,3.0846893e-06,1.2071115e-05,0.00028180532,0.97318643,1.4034373e-06,0.00029380806,3.6063996e-06,0.00026960668,6.4543834e-05,4.362599e-05,6.7719334e-06,0.0004774169,0.00018597326,3.5311587e-05,0.020532483,1.1732413e-05,8.196344e-05,7.4773748e-06,0.00077670976
sub_topic_23,0.0066157556,0.00032329577,0.007730452,0.00087275635,0.00046974435,0.00096872443,0.0001833822,0.00062481157,0.00035804338,0.0020377766,0.0032327303,0.0016215419,0.00034678116,0.0034849725,0.0002910476,0.0143749155,0.0009185691,7.317753e-06,0.0009068576,0.00014003464,1.2823573e-06,0.0009268234,0.00034541622,1.9530531e-05,0.0006485017,0.00038063107,0.0025047166,0.0029382454,0.031009063,0.00980372,0.0015263818,0.0009089477,0.0048728706,0.009381918,0.2666419,0.004045918,0.00017592705,0.004366913
sub_topic_24,8.994077e-05,3.531512e-05,2.2732942e-05,3.617442e-05,1.6150821e-05,4.1107298e-05,4.4266333e-05,5.8809865e-06,9.065219e-06,0.0010178136,5.3587446e-05,8.598894e-06,8.672042e-05,0.97389036,8.3898056e-05,0.00039381778,5.687926e-05,1.4357399e-05,9.552543e-06,7.2793796e-07,4.153857e-06,6.977109e-05,0.000105160754,2.3344137e-06,0.00037682516,1.1257291e-05,4.8269147e-05,0.00011654169,0.00071852177,2.6329022e-05,9.3534145e-06,3.3819764e-05,1.9475849e-05,9.8017386e-05,2.8292041e-05,5.0915416e-05,3.3458637e-05,8.686657e-05
sub_topic_25,0.0011913095,0.00027029624,0.0007101583,0.0002934147,0.001314195,0.0001812425,0.0002641245,0.0004666235,0.0008971288,0.00021007209,0.00021970838,0.0005269544,0.0003424082,0.0005472498,0.00047945455,0.0007244595,0.00070174836,3.8896032e-05,0.0005711518,0.0028683566,5.2881376e-05,0.00033270603,0.00032260548,1.470332e-05,0.0018064865,0.9881658,0.00068349706,0.017458845,0.00034993712,0.00049782655,0.00058285636,0.001213226,0.0023306545,0.00061007676,0.0003349959,0.0003486365,0.0007759117,0.00016276252
sub_topic_26,0.0001133144,5.493023e-05,4.481204e-05,6.9902446e-05,1.19045435e-05,5.3087864e-05,8.4370495e-06,1.1054944e-05,1.253962e-06,0.76341325,9.407345e-05,2.5531513e-08,1.6512518e-05,0.0039809863,0.00011022542,0.00014041337,7.515215e-05,9.3813915e-06,4.403734e-06,3.8280749e-07,4.000275e-06,6.609285e-05,4.0514882e-05,4.1584926e-07,0.00025340542,5.887696e-07,3.5631445e-05,0.0013774033,0.0029869874,9.9805184e-05,7.658268e-06,3.063371e-05,2.2927654e-05,5.609027e-05,4.538184e-05,0.000100929145,2.6820051e-05,0.00012132725
sub_topic_27,1.6843635e-05,0.9690233,1.6874408e-05,1.0666337e-05,9.101929e-06,6.348548e-05,8.297885e-05,1.6698557e-05,2.614712e-06,4.3386484e-05,4.82658e-05,0.0,0.0009825146,3.8938426e-05,0.00010766874,2.2458391e-06,1.4701535e-05,0.00027855556,2.8689738e-05,2.5870734e-06,1.9069357e-05,0.00015431384,4.8125545e-05,0.00018469318,6.990449e-06,4.943483e-06,0.0005234394,8.659499e-05,2.8272347e-05,1.8593548e-06,6.266925e-06,7.620146e-05,9.481028e-06,0.00027841819,1.2523931e-05,5.329453e-06,4.364184e-06,6.1752995e-05
sub_topic_28,1.5647054e-05,0.00021234098,1.9303412e-05,1.6641885e-05,1.0361671e-05,8.9620466e-05,0.9876618,1.3072914e-05,1.540602e-05,4.2686068e-05,7.125544e-06,0.0,0.00081118324,6.368319e-05,9.64087e-06,3.8202466e-05,3.3116623e-05,0.00011585432,5.821226e-06,5.182937e-06,1.4725003e-05,5.102747e-05,2.528264e-05,3.512291e-05,6.5557597e-06,3.1666077e-06,3.897735e-05,0.00010707632,0.00024721993,2.7103474e-06,2.8798224e-06,5.401504e-06,4.5628283e-05,4.554993e-05,1.8299153e-06,1.908996e-05,9.287793e-06,3.302351e-05
sub_topic_29,2.226801e-05,0.0003615646,6.618999e-05,1.5190663e-05,9.7558905e-06,0.00018316663,4.1861473e-05,6.4798924e-06,3.7844877e-06,4.4608827e-05,0.00013311053,8.27964e-06,0.000275467,4.3130403e-05,0.00028629633,2.595415e-05,7.807798e-05,0.00012198039,2.4426166e-05,4.73747e-07,1.1884471e-05,0.9775906,0.00016160113,2.1998603e-05,1.3403525e-05,2.2930838e-06,0.00081277156,3.6406196e-05,3.520814e-05,5.9288736e-06,1.568007e-05,7.620724e-05,2.8298435e-05,0.00038503148,3.15983e-05,2.0387091e-05,2.1377389e-06,0.00018878687
sub_topic_30,0.0001027668,0.00039707162,0.0004995145,4.6414047e-05,3.2164033e-05,0.00011207608,1.8572528e-05,1.1260416e-05,2.7429296e-05,1.7226801e-05,0.00030262137,4.140391e-05,0.00021711862,6.138414e-05,0.00022182646,7.11582e-05,8.533025e-05,4.5128847e-05,0.00022240198,6.578805e-06,1.1550836e-05,0.0008566497,0.00030098346,8.489132e-06,2.6197442e-06,1.2788039e-05,0.9667124,8.3542436e-05,7.9341095e-05,3.6567742e-06,3.397466e-05,0.00033340184,0.0010045844,0.005279643,0.00024516528,0.00017571198,1.3528759e-05,0.00014701353
sub_topic_31,0.0006155595,0.00029554375,0.00091771863,0.00053142814,0.00021467678,0.0009070904,0.00038794984,0.00013683815,0.00010148811,0.00077555096,9.3795185e-05,4.150056e-06,0.00068043737,7.85989e-05,1.6534555e-05,5.33013e-06,0.012327365,0.00020409818,0.000348793,0.23238212,0.02382671,0.0001303274,0.000451426,0.0001003238,6.5659e-05,0.0016606163,0.0005377513,0.0006914359,0.00025924708,0.0006209589,2.5936683e-05,3.528725e-05,0.0074527035,7.053237e-05,0.00010006516,0.0007289164,0.005075309,0.0006832711
sub_topic_32,0.0005216927,0.00034807427,0.00016921111,0.00026805178,0.00021428603,0.00010399183,0.00016354794,0.00040882954,0.00011429638,0.002111902,0.0022698692,0.00088130095,2.2651897e-05,0.0045331665,0.0033701102,0.0032067774,0.00022431652,3.9996743e-05,1.9915324e-05,7.378601e-05,1.0626546e-05,0.0011711576,0.0020227449,0.00014956812,0.97407144,0.00081001205,0.00010683403,0.0018114004,0.0010020201,7.449407e-05,0.0044993237,0.013645963,0.0007624872,0.0006106605,9.006616e-05,0.0007999493,6.634449e-05,4.0279487e-05
sub_topic_33,0.003326455,0.0016197306,0.0011824335,0.0011817574,0.0034723987,0.0008453556,0.0017434743,0.003555328,0.99236685,0.0004016965,0.00078342436,0.0023638266,0.0008251999,0.0030928387,0.0006083674,0.0011048317,0.004291621,0.00013343451,0.002747095,0.0007787763,0.0005043314,0.0015272069,0.00088075787,0.039601065,0.0013519749,0.0038290326,0.0033544316,0.006087893,0.0015270434,0.0008398367,0.0017927244,0.0018317904,0.003458798,0.004220071,0.0007429182,0.0016912931,0.0006556781,0.001166506
sub_topic_34,0.00027564022,6.667722e-05,0.00049756974,0.0019590487,0.00011367373,0.0045990054,2.8348843e-06,1.4537102e-05,7.623022e-07,0.00030513146,0.00023594998,4.662293e-05,0.00027331407,0.00024859922,1.3476501e-05,0.00017955962,2.550667e-05,2.2876752e-06,0.00028179665,2.6066695e-05,2.1533284e-05,0.00029852372,3.923026e-05,1.8552322e-06,1.0455886e-06,3.1788286e-06,0.0005684832,3.2930016e-05,0.0017133713,0.0010253468,1.1570795e-05,4.647364e-05,0.0001811385,0.0016877771,0.71932197,0.00016991497,1.5321035e-06,0.06818159
sub_topic_35,0.00010014317,2.0810277e-05,0.00019294587,8.637727e-05,4.07898e-05,1.0182743e-05,4.164177e-06,4.1905014e-06,6.488685e-05,3.6213391e-06,5.1600935e-05,0.98305714,2.8687105e-05,2.7302816e-05,4.1586412e-05,0.00012090163,3.253209e-05,3.4951105e-07,0.0010248496,2.94409e-06,1.9796478e-06,6.0838116e-05,2.6563073e-05,6.203666e-07,1.5918009e-05,2.5766407e-05,0.0002366978,6.2829175e-05,1.0768316e-05,1.5725587e-05,8.5779466e-05,5.2927313e-05,7.938846e-05,0.0026121128,0.00019248352,9.296369e-05,8.253358e-06,3.849945e-05
sub_topic_36,5.6208897e-05,0.00011005753,0.00088180916,9.363618e-06,2.9677673e-05,3.9471674e-05,8.22513e-06,2.4529463e-05,1.5002796e-05,3.091002e-05,0.0024900697,0.0005750775,0.00013065584,3.7048398e-05,0.00073529227,0.00094089186,8.109867e-05,1.8169965e-05,3.4104912e-06,7.4085406e-06,0.0,0.00027416283,0.0022783002,2.2079646e-06,0.003736313,4.4694636e-05,0.00019542896,0.00017652099,1.7943572e-05,1.3136679e-05,0.6050323,0.002888465,0.00034940426,0.006942827,7.773254e-05,6.7045745e-05,2.7566279e-05,0.00025104478
sub_topic_37,0.00091096683,0.0006808927,0.0006895336,0.0010024795,0.9922692,0.00083488045,0.00048052304,1.4339431e-05,0.000670588,0.00030169243,0.00026765227,0.00022209661,0.0020864126,0.00038803165,0.00020981274,0.00025187575,0.00051521685,3.5009023e-05,0.0005835449,0.00021604764,0.00071109465,0.00048240597,0.00029492023,1.1246932e-06,7.80544e-05,0.00064435776,0.0012274622,0.005343239,0.0005542455,0.000419774,0.00017061937,0.00051023735,0.00039711763,0.0014762313,0.0019177772,0.00023569536,0.0005747631,0.0012510039
sub_topic_38,0.00022176465,0.003358106,0.0003623679,8.6750704e-05,4.8882626e-05,0.00056053867,9.012896e-05,2.9679182e-05,4.5694196e-05,0.0007957004,0.0021346258,0.0002028054,0.0008986461,0.0005318362,0.97833323,0.0023899574,0.00039583017,0.00062324957,9.0039044e-05,8.368881e-06,5.1083043e-05,0.004178371,0.0020026627,6.8503155e-06,0.0009857853,0.00019154695,0.0047415476,0.0009007375,0.0005024091,7.3496725e-05,0.0007895907,0.0044792094,0.00045720296,0.001109529,0.00010636678,0.0002659557,5.236223e-05,0.00013123453
sub_topic_39,0.00039129675,0.00451489,0.00088059367,0.0010164835,5.445168e-05,0.0054469947,0.0016326476,8.417349e-06,6.9001035e-06,0.0034395356,0.0005585413,1.1696834e-05,3.8987615e-05,0.0005648249,0.0033806267,3.465535e-06,0.11172165,0.39782646,0.00017718726,0.00028234464,0.068153635,0.0027532012,0.0046738284,4.385724e-06,0.0001382492,9.193648e-05,0.0023510596,0.004314267,0.0004299064,0.00036382768,3.2754408e-05,6.198584e-05,0.00031849756,0.0005296164,2.1434885e-06,0.0008842423,0.00082203926,0.0020038558
