,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30
sub_topic_10,2.752645e-05,1.6514068e-05,6.3827288e-06,1.5729252e-05,7.6230162e-06,1.7124195e-05,4.350639e-05,1.7842793e-06,1.4676065e-06,0.0005011519,6.22626e-06,1.7233897e-06,7.6107694e-06,0.77231336,3.8424383e-05,6.3779895e-05,6.3639636e-06,1.2564993e-05,2.6747216e-06,2.2769633e-05,4.296594e-06,1.530948e-05,5.2260646e-05,1.7157305e-06,1.611931e-05,1.8269658e-06,1.4070921e-05,1.1081008e-05,0.00043636613,1.7887221e-05,6.683548e-06
sub_topic_11,0.0002691113,3.2579606e-05,0.00024891022,0.0020965775,2.461573e-05,0.00019263117,0.00013623117,1.1079748e-05,3.781354e-06,0.00069195696,0.0001233545,0.00014585168,3.6147285e-05,0.00040114412,0.00010189244,3.18821e-05,7.9249396e-05,2.1570871e-05,0.00021467349,0.0040983055,8.3293606e-05,5.767236e-05,0.00013367404,1.2346894e-05,7.279639e-05,2.2454253e-05,5.1522667e-05,1.9606661e-05,0.0006222455,0.34986538,3.0980325e-05
sub_topic_12,0.007583951,0.0019608624,0.0021769484,0.0020886378,0.016424399,0.0010020694,0.0019941728,0.000697618,0.15771487,0.0003895203,0.004918966,0.004721663,0.0030746232,0.0031079813,0.00050981686,0.001132088,0.0057905116,0.0002512045,0.029091576,0.0010475998,0.000902374,0.0025449267,0.000821932,0.0015180446,0.0007040211,0.005214986,0.0069184313,0.0049486337,0.003202512,0.0020394637,0.0019877532
sub_topic_13,0.00010809718,0.00017018979,0.066104375,0.00025780377,0.0002553006,0.00011303505,0.00016152363,0.0002531751,0.0020572376,0.000119405006,0.0011061765,0.0001947443,0.0013397685,0.0002245462,0.000294703,4.1417854e-05,0.00033907336,5.290606e-05,1.0159363e-05,0.00312904,3.6668618e-05,0.00020209947,0.0024219218,0.0005670698,0.016322732,0.0005015037,0.0001266131,0.00031503214,0.00021161113,0.0005398372,0.011883813
sub_topic_14,0.00011263045,0.0005017544,0.0001619721,0.00013020994,9.363288e-05,0.00016220925,0.0004747478,7.50088e-05,0.00019527628,4.2847663e-05,6.180114e-05,5.159591e-05,0.0004450136,0.00033683152,9.320159e-05,5.1191157e-05,0.00015554382,0.0014915173,5.3379066e-05,0.00014078831,0.00022207841,0.0002620578,0.00047073243,6.295367e-05,0.00010491207,0.0007627163,8.4806496e-05,0.9769616,5.6996116e-05,0.0003091294,6.131537e-05
sub_topic_15,0.00034303078,0.0015252536,0.00066300906,0.0013400522,0.00018099113,0.00072422484,0.00054974685,4.0934347e-07,1.3539717e-06,0.0012872915,1.6683829e-05,1.2052454e-06,0.0032357913,0.00041278693,9.359635e-05,6.3062265e-07,0.0012069757,0.0043317256,0.0004158469,0.00039084634,0.9271106,0.00035166155,0.0013829963,1.7214905e-05,1.513787e-05,0.00051510544,0.00018968855,4.0124574e-05,0.00028130252,0.0017025053,4.3637916e-05
sub_topic_16,0.00016443522,0.03141601,0.00014642104,0.00032664975,1.1728095e-05,0.00019286283,0.069576494,0.00021413882,9.880491e-06,0.0012505085,6.707049e-05,2.694274e-06,0.018054986,0.0014263062,5.662396e-05,5.4619068e-06,0.00218945,0.15899043,0.00012641496,0.00036148197,0.0015159688,0.0014435517,0.002658897,0.00043777583,3.1906842e-05,8.7875655e-05,0.000793459,0.00087344943,0.00029885478,3.833928e-05,0.00010903992
sub_topic_17,0.9349616,4.3349988e-05,0.00011500225,6.2765306e-05,2.9699355e-05,8.523687e-05,2.2738224e-05,7.681365e-06,9.704264e-06,0.00019201117,6.921884e-05,5.1283507e-05,1.3127105e-05,0.0002189673,1.916594e-05,7.07988e-05,5.073207e-05,6.655149e-06,0.0001857696,3.8627968e-05,1.4867894e-05,8.028385e-05,0.0008346745,4.131567e-06,8.42355e-05,1.95699e-05,7.692122e-05,3.00058e-05,0.00014188998,8.560176e-05,0.00015814386
sub_topic_18,0.00010091127,0.0006128095,0.00023495781,2.1521204e-05,1.3873769e-05,2.4727588e-05,0.00016651579,1.6721497e-06,3.6685995e-07,0.15509313,2.3938455e-06,0.0,0.00035111923,0.00014057576,0.0001628822,1.5814312e-06,0.00022328322,0.0072893407,1.552947e-05,0.00010293268,0.0022827468,0.00032602053,0.0006944694,7.499936e-05,7.3018805e-06,2.2727834e-05,9.100624e-05,4.1754072e-05,9.200724e-05,0.0001472394,2.2793576e-05
sub_topic_19,0.00020683954,8.383633e-05,0.000121598976,0.5077467,2.9404053e-05,0.0031312013,2.0662166e-05,1.9663517e-05,4.6802634e-06,0.00079698814,0.0006356381,0.00040215405,1.30873095e-05,0.00033858995,3.8873717e-05,1.6501082e-05,5.70328e-05,2.4155337e-05,0.00012922425,0.0011500382,0.0010456168,4.013332e-05,0.0001114935,0.00017263327,0.0001298624,2.2799939e-05,3.31652e-05,8.28829e-05,0.0001813143,0.00047817267,8.8185705e-05
