,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
sub_topic_18,6.011478e-05,0.00019550764,7.061625e-05,1.9270243e-05,4.7492726e-06,1.5652971e-05,0.00013928783,2.1975113e-05,1.8265525e-06,0.3625412,7.6004064e-05,4.2720585e-06,5.664566e-05,1.0440773e-06,0.00017549958,0.00016577396,7.949157e-05,0.00065069186,5.995633e-05,8.0707905e-06
sub_topic_19,3.0472289e-05,6.539197e-05,0.0001015927,0.0006644937,6.063025e-06,0.0016875732,7.623233e-05,0.00017462001,1.3154152e-05,0.00023416689,0.00012924949,4.4305143e-05,3.0481551e-05,3.7621498e-06,0.00012049881,0.0001597185,0.91168684,7.4943935e-05,0.00024126364,0.00018140695
sub_topic_20,0.0005862896,0.00032929683,0.00055448746,2.3814142e-05,0.00061031955,6.489266e-05,0.0003888226,0.0009843569,0.0010046712,0.001061299,0.0020032297,0.48418325,1.2005652e-05,0.000192636,0.020990483,0.0040580668,0.00026486046,4.3260266e-06,8.230469e-05,0.00018825337
sub_topic_21,0.00018946329,0.0003108244,0.00020385176,0.00034761388,8.434074e-06,0.0004342247,7.2964925e-05,0.5099814,4.000797e-05,2.4928513e-05,0.001277197,0.00048825992,1.9811657e-06,2.916731e-05,0.0007469977,0.00011085419,0.0015084405,1.6313794e-05,0.00012332562,0.00012317766
sub_topic_22,0.00015388138,0.00013594901,0.00039880336,0.0018386485,2.6773616e-06,0.00014398451,0.00053602055,7.4690404e-05,1.7496941e-05,0.0008324536,0.00015256715,1.2189398e-05,0.00088945474,4.1540757e-06,0.0010483633,0.00075256283,0.0007022865,0.00045347717,0.43167713,0.00017180778
sub_topic_23,0.015193905,0.0023208088,0.008967987,0.0005962862,0.0006216598,0.059374318,0.03585529,0.018335074,0.00082677446,0.003934337,0.004527122,0.005926873,3.2554678e-06,0.0002309622,0.003116517,0.016395595,0.00087907544,1.3046984e-05,0.0013063204,0.0001558372
sub_topic_24,0.00020000977,0.0016382607,0.00028834297,0.00013630927,4.573632e-06,0.00014782527,0.00019190069,0.3656271,5.8348676e-05,7.9538804e-05,0.0008891721,5.4045147e-05,1.06135e-05,2.6557633e-05,0.00013234449,0.00013097335,8.878885e-05,2.498441e-05,7.69995e-05,2.0374026e-05
sub_topic_25,0.001820642,0.00039468164,0.0013659275,0.0005703622,0.0004718814,0.00049679197,0.0005036646,0.0013080928,0.7096848,0.00045638063,0.00028071456,0.0025326347,0.0005297271,0.00038805848,0.000828009,0.0010312316,0.00037587757,3.8743645e-05,0.00071306725,0.007864806
sub_topic_26,0.00012297626,0.000105590465,9.4368035e-05,1.9633388e-05,1.8794359e-05,0.00011648291,0.00080981286,8.442589e-05,7.130722e-06,0.56362426,0.00012413746,7.125989e-05,8.346834e-06,6.844964e-06,0.00018294409,0.008538406,0.00018659417,7.116304e-06,0.00010783115,4.212763e-06
sub_topic_27,1.6233433e-05,0.6854354,3.945161e-05,9.902639e-06,7.189842e-06,3.583876e-05,7.057596e-05,0.0003150164,2.998261e-06,5.239389e-05,0.000121368685,3.398578e-06,1.7215758e-05,4.463025e-06,1.7617438e-05,3.2722914e-05,3.274137e-05,0.0005344146,2.0648513e-06,7.912156e-07
