,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28
sub_topic_10,8.582377e-05,3.3922475e-05,2.0797226e-05,1.3571971e-05,2.2479648e-05,2.2700016e-05,6.626094e-05,4.39827e-06,7.415462e-06,0.0011536599,1.13649785e-05,1.5048876e-05,1.6091317e-05,0.9703386,0.00025443753,0.00022283333,7.101618e-05,1.8948549e-05,1.6638338e-05,4.4223056e-05,1.532497e-05,2.4281047e-05,0.00013520203,4.936009e-06,0.00023686117,5.286294e-06,2.8508197e-05,5.811985e-05,0.00053201045
sub_topic_11,0.00044729843,4.4829827e-05,0.00049662834,0.00024005752,6.964447e-05,0.00017866591,9.564269e-05,1.6514512e-05,1.1576844e-05,0.00058842305,2.2766635e-05,9.371136e-05,8.194224e-05,0.00019352633,3.9253355e-05,5.982973e-05,0.001044894,1.2955642e-05,0.9509864,0.0008487133,0.00359804,6.36394e-05,0.00023028106,7.093069e-06,6.5212924e-05,0.00020489599,3.9182818e-05,7.2185845e-05,0.00025493093
sub_topic_12,4.3496686e-05,0.0001203722,0.00022258057,0.97737604,4.77857e-05,0.00048363052,6.19924e-06,0.0,3.0998974e-05,4.0737323e-06,9.626779e-06,0.0009894561,1.3869837e-05,2.1029726e-05,3.4435818e-06,1.2801132e-06,0.00070656545,9.995264e-06,2.4598385e-05,0.00043075185,4.751555e-05,0.00013649058,9.2501774e-05,2.2453927e-05,1.6261685e-06,7.6402146e-05,0.00022888741,1.2192432e-06,1.6190863e-05
sub_topic_13,5.9030167e-06,5.4218548e-05,1.5559443e-05,7.872594e-05,3.944801e-06,0.0002738593,2.325089e-05,1.9254467e-05,8.053759e-06,1.4993981e-05,8.569667e-06,2.5899953e-06,9.083937e-06,1.8011526e-05,1.6414533e-05,5.658582e-07,0.0003600781,7.00147e-05,1.0959152e-06,0.00013985224,1.704793e-05,3.334465e-05,2.3194694e-05,0.9893086,7.0622627e-06,3.0497451e-05,3.481568e-05,7.6103247e-06,7.627455e-05
sub_topic_14,0.00013732673,0.0005605097,0.00016286517,5.4509586e-05,0.000101347716,0.00016606759,0.00048164956,9.1952694e-05,0.00024400567,4.9864047e-05,6.5797496e-05,5.7773395e-05,0.00043788808,0.00037009266,0.000105401625,7.1712486e-05,0.00024799496,0.0014254429,0.00017532895,0.00013543759,0.00052905636,0.00015638901,0.0003962134,7.4014926e-05,0.0001354588,0.0005972277,0.00011636137,0.975478,5.9788646e-05
sub_topic_15,0.0014248241,0.003178282,0.0010924205,0.004345094,0.0024931023,0.00010836237,0.0016044561,1.751161e-06,4.1347157e-05,0.0029403674,3.42232e-05,5.7388397e-06,0.017801909,0.00029404924,0.00022280111,4.083045e-06,0.0011718012,0.0040841415,0.0028477083,0.00020766593,0.3093057,0.0004936574,0.0020021773,7.706509e-05,0.00014600548,0.0010905993,0.00034578211,6.485911e-05,0.00036231193
sub_topic_16,5.5455967e-05,0.00022822668,0.0019625,3.407686e-05,7.2235795e-05,1.6075965e-05,0.00018734041,7.2034286e-06,4.8213868e-05,8.4515734e-05,4.3336495e-05,8.757658e-06,0.9601066,7.4989824e-05,2.3882534e-05,5.0428534e-06,0.00018209845,0.00021246987,3.4850407e-05,5.9288668e-05,0.00013810881,0.00013742573,0.00016037763,2.9813367e-05,5.4960365e-05,4.2870277e-05,8.676094e-05,9.075612e-05,0.00010803421
sub_topic_17,0.7796992,6.329168e-05,0.00016742715,5.7474303e-05,3.965494e-05,9.092585e-05,2.6037527e-05,6.17164e-06,2.7371583e-05,0.00019371815,6.420112e-05,0.00015977048,2.6559495e-05,0.00026375538,4.217612e-05,8.463554e-05,0.00020593179,1.0272845e-05,0.000110828005,6.771728e-05,1.9003475e-05,9.84044e-05,0.0014592998,8.217649e-06,9.740073e-05,2.7188764e-05,0.00015303906,3.519073e-05,0.00016285258
sub_topic_18,0.00022401244,0.0014759043,0.00067822303,8.991876e-05,1.7013283e-05,0.0001409176,0.00037409575,3.3297633e-06,1.5463239e-06,0.15203348,5.1575503e-06,1.3251648e-06,0.0004460935,0.00023880159,0.00035135946,5.7747307e-06,0.00013267319,0.021875082,4.6525707e-05,0.00017584262,0.003090742,0.00030885582,0.0010194704,0.00024198799,2.7689961e-05,4.2030173e-05,0.00021442586,7.195905e-05,0.00016427651
sub_topic_19,0.00048076193,0.00013444747,0.0006909347,0.0023714558,5.4128184e-05,0.0012307531,4.996428e-05,2.2009044e-05,2.4912422e-05,0.0010610148,0.00019129468,0.0004783258,8.3333514e-05,0.00061177,0.00013142065,7.397846e-05,0.96310496,5.894312e-05,0.0010911303,0.00089021923,0.00020360587,7.401605e-05,0.00032734885,0.00012303956,0.00030043573,4.700325e-05,6.249097e-05,0.00015196686,0.00043033
sub_topic_20,0.0033225585,0.0005391536,0.002716447,0.0001043578,0.00027400278,0.0012719306,0.00039498557,0.00012376596,0.00022226865,0.000657842,0.0029082897,0.005675852,4.9321094e-05,0.0020234473,0.0028744414,0.56659573,0.00019429755,1.8842307e-05,0.00022845011,0.00037568025,3.2579075e-05,0.0041619847,0.00077591545,4.003841e-05,0.0004475428,0.00019601885,0.0054119932,0.00074682356,0.0018123004
