,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
sub_topic_22,3.563484e-05,0.00013440216,0.00023457906,4.310258e-05,0.000117013864,3.6591086e-05,8.44741e-05,4.0945739e-07,9.992038e-06,0.0003405988,2.209643e-05,1.5445808e-05,0.00026496747,0.0002713976,0.00012112093,2.0009049e-05,6.1453495e-05,0.00020142969,4.9666185e-05,0.00017734566,0.0047328486,8.312002e-05,0.00014543437,2.1315316e-06,1.4662527e-05,7.201825e-05,0.00010349365,4.1395346e-05,0.00042209536,0.28614628
sub_topic_23,0.011862707,0.00021636332,0.010420585,0.0017822575,0.00014680027,0.17003183,0.00016083347,5.3696724e-05,9.138786e-06,0.002879049,0.0007927655,0.0044205016,0.000134557,0.0023905893,0.00017800766,0.015716245,0.0006113477,1.4883079e-05,0.001542612,0.0009725628,5.1261277e-06,0.0013430773,0.0017784255,2.3243478e-05,1.7400289e-05,3.1347376e-05,0.0022352734,0.00015581933,0.14153636,0.0076090097
sub_topic_24,3.6154262e-05,1.24825865e-05,3.503792e-05,2.1394435e-05,3.2296888e-05,2.8237551e-05,1.7057364e-05,1.4459854e-06,7.850565e-06,0.00096457114,8.92774e-06,9.522926e-06,1.0109749e-05,0.45492038,5.860678e-05,0.0018952382,9.520284e-05,7.899926e-06,2.3680594e-05,5.789132e-05,9.831628e-06,1.9960149e-05,0.00012529189,1.0926182e-06,0.00022278354,3.8825433e-06,2.540797e-05,2.022174e-05,0.00025417513,4.5751513e-05
sub_topic_25,0.00054736115,0.00020244282,0.00062489574,0.0003412343,0.0012968292,0.00016809853,0.00018892338,0.00022356548,0.0005911507,0.00012338317,0.00027448882,0.0005988179,0.00018515067,0.0003163383,0.0003215702,0.0007517679,0.00020312553,4.7233912e-05,0.00050440925,0.0003897951,2.8631974e-05,0.00028536626,0.000118583936,5.2011288e-05,0.0017613133,0.51637083,0.00065427826,0.0012266637,0.0002566353,0.00044990637
sub_topic_26,3.917105e-05,3.728057e-05,3.441021e-05,6.501803e-06,8.407716e-06,3.7334845e-05,9.812905e-06,4.6716104e-06,8.0639566e-08,0.8288955,4.193305e-06,1.4960458e-06,8.651857e-06,0.0010244967,0.000106764,0.00021605422,8.2431194e-05,1.2522708e-05,1.4899687e-05,3.542674e-05,7.978636e-06,3.482127e-05,6.576418e-05,4.541102e-08,3.7790775e-05,2.3683977e-07,1.7975193e-05,0.0003090291,0.0012555207,5.8724505e-05
sub_topic_27,1.0926333e-05,0.8816544,1.8716015e-05,1.1341824e-05,7.728538e-06,3.2117685e-05,0.000114731956,1.9358766e-05,1.7306805e-06,4.3650194e-05,5.155193e-06,4.7575315e-07,7.141395e-05,3.21107e-05,3.22522e-05,1.4115404e-06,1.0230871e-05,0.0005674979,1.0243751e-05,3.406956e-05,3.531886e-05,5.608139e-05,6.9788846e-05,1.4001822e-05,3.9864653e-06,3.3510423e-06,0.00019875639,3.056953e-05,2.4916124e-05,2.3972405e-06
sub_topic_28,1.1515422e-05,2.8991088e-05,2.146474e-05,4.8348015e-06,1.7022845e-05,7.794219e-06,0.3932152,1.3014572e-05,1.2047232e-05,4.3897253e-05,4.7326e-06,4.3159475e-06,2.2788789e-05,0.00013171331,1.422032e-05,0.00015461564,1.6453034e-05,1.1856836e-05,8.855623e-06,2.18482e-05,2.4108265e-06,7.386377e-05,1.4799196e-05,1.6406506e-05,6.1303886e-06,3.836231e-06,2.3105338e-05,2.4399327e-05,0.0005826285,1.248712e-05
sub_topic_29,4.147363e-05,0.000103817176,0.00014325602,1.3364946e-05,4.8375846e-06,2.8807663e-05,1.7630564e-05,1.802381e-06,2.1253086e-06,1.47202745e-05,1.45779395e-05,8.505459e-06,9.920422e-06,1.2160509e-05,4.2529082e-05,1.4610848e-05,1.1983867e-05,3.7109472e-05,5.918278e-06,3.606119e-05,5.5455985e-06,0.9751294,9.521811e-05,8.18082e-06,5.1046163e-06,8.3945235e-07,0.00029611946,3.5975636e-06,2.8488797e-05,3.2373134e-06
sub_topic_30,0.007396748,0.00033405962,0.05916491,0.0003147143,0.00075974694,0.0005271291,0.0002566155,3.865215e-05,0.0017240051,5.9127495e-05,0.0018007566,0.0011138114,0.00017891014,0.0003746711,0.00020754497,0.0020806387,0.0002152813,4.3498538e-05,0.00030850657,0.00057900464,2.872712e-05,0.001776165,0.0014013035,4.4096414e-05,0.00012886636,0.00019119623,0.041998494,0.00034714764,0.00048305406,6.759065e-05
sub_topic_31,0.00014044488,9.9220175e-05,0.0003786997,8.23713e-05,5.2914053e-05,6.5053944e-05,0.000120026074,0.000111146735,1.6627915e-05,7.4039504e-05,3.178461e-06,5.9069685e-06,0.0004578439,1.5104083e-05,3.3857045e-06,2.359049e-06,5.5856184e-05,0.00010690617,2.3610222e-05,8.988273e-05,0.0020959233,8.16063e-05,4.6622943e-05,3.5207326e-05,3.664618e-05,0.46949765,8.4071995e-05,0.00035496993,3.8334754e-05,0.00031421843
