,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33
sub_topic_20,0.013170185,0.0008520065,0.00929631,0.0002461785,0.0005039294,0.0070625194,0.000470124,0.00033425496,0.00056756486,0.00091161963,0.004846352,0.015870223,0.000571929,0.0026988243,0.0004319201,0.23622249,0.000102842256,5.6028334e-06,0.00027103865,0.0001599018,9.104833e-07,0.0013847204,0.00014360827,3.7724076e-05,0.0003656978,0.0008516447,0.0032935147,0.0016497655,0.0034208987,0.00070602796,0.0014557564,0.00025857263,0.014630178,0.007797165
sub_topic_21,1.3386951e-05,8.46731e-06,2.8793564e-05,0.0010815265,2.9671858e-06,0.00017379402,2.9230785e-06,7.3909023e-06,1.0274488e-05,7.664344e-06,0.0010941897,1.9602934e-05,2.4776332e-06,4.354585e-05,7.481551e-05,1.0041032e-05,1.3850742e-05,2.0615848e-06,0.0010012644,0.010553722,3.2607286e-07,2.1182044e-05,0.000105882085,1.4899751e-05,3.331467e-05,4.897485e-07,0.0005860712,9.051873e-07,1.9631803e-05,5.7490324e-05,0.00016016634,0.21513969,3.9310407e-06,2.149424e-05
sub_topic_22,7.469223e-05,8.74976e-05,0.0001192446,3.847023e-05,4.4274e-05,3.171414e-05,7.257628e-05,2.3666445e-07,5.386578e-06,0.00027501397,1.1143248e-05,5.0801596e-06,8.729535e-05,0.00026934574,0.00017080206,7.112422e-06,0.00020193665,0.00014069432,0.00011777517,0.00015170495,0.0022004512,6.559181e-05,8.075704e-05,6.5300983e-06,1.3268993e-05,3.716098e-05,6.509605e-05,3.064002e-05,0.00033914624,0.30577114,2.7843571e-05,6.894951e-05,5.4131747e-06,3.8604958e-05
sub_topic_23,0.00033585128,0.00013798369,0.00027214646,0.00067577895,0.00034091287,0.0029155624,2.4315932e-05,4.6467376e-05,0.000115059076,4.190582e-05,0.6371502,0.0009808588,6.13002e-05,0.0002045677,1.9705854e-05,0.00026723687,4.4188375e-05,6.0862117e-06,0.00047308856,2.6925034e-05,9.487619e-06,0.00024098813,7.9160425e-05,4.030289e-05,3.6735004e-05,0.0001445584,0.00078150886,6.834923e-05,0.00033364297,0.00013699381,0.00012375996,0.0005603179,0.000142118,0.0004435966
sub_topic_24,1.8196662e-05,6.90689e-06,5.1300963e-06,6.9826892e-06,5.8619316e-06,1.0603429e-05,1.2573907e-05,2.0372453e-07,2.2197025e-06,0.00029338946,6.57823e-06,1.0487807e-06,4.793261e-06,0.52274436,1.5162813e-05,0.00021012974,4.5369284e-06,4.599256e-06,1.3563996e-06,0.0,1.2450006e-06,1.5427253e-05,3.728095e-05,0.0,0.00010047331,1.6577968e-06,8.86183e-06,7.030563e-06,8.1254744e-05,1.1647522e-05,2.3676016e-06,7.732198e-06,0.0,1.755646e-05
sub_topic_25,0.0006350548,0.00016067087,0.00047826668,0.00014954653,0.0006446796,7.032873e-05,0.0001652275,0.0002074838,0.000257668,0.00011328139,0.0001954706,0.0001585751,0.00012884475,0.00020529825,0.00020562777,0.00023408767,0.0002519084,3.8217142e-05,0.0003001316,0.0013043103,8.532268e-05,0.00014456292,0.0001275816,4.0757805e-05,0.0008431232,0.9720241,0.00020552339,0.00095890695,0.0001659583,0.0003073685,0.00026258765,0.00026892775,0.00045428707,0.000132579
sub_topic_26,5.834539e-05,3.160634e-05,2.3842626e-05,2.7558643e-05,3.9122083e-06,2.2009744e-05,6.997099e-06,3.9472125e-06,0.0,0.7543291,1.071707e-05,0.0,4.486628e-06,0.0013180863,0.00010570585,7.027341e-05,1.3283658e-05,8.085817e-06,1.7491216e-06,3.6192736e-07,4.7344383e-06,3.7914164e-05,3.7661517e-05,2.4759984e-07,7.832352e-05,0.0,1.1633644e-05,0.00036662607,0.001981877,5.3945234e-05,3.937573e-06,1.7642993e-05,1.7984091e-06,1.632252e-05
sub_topic_27,1.0448989e-05,0.96277016,1.1340082e-05,4.39056e-06,3.3909068e-06,1.4832191e-05,9.306031e-05,1.3855485e-05,6.362802e-07,3.4059696e-05,1.7936598e-05,0.0,0.00011276299,2.6147083e-05,7.9261685e-05,0.0,1.0318164e-05,0.0003150582,1.1919708e-05,9.824357e-07,2.4305804e-05,0.00017935204,3.7608388e-05,5.2943433e-06,3.9912134e-06,2.2687218e-06,0.00019976198,1.648864e-05,1.5797683e-05,1.4988454e-06,4.659087e-06,1.9147463e-05,1.6853007e-06,3.383728e-05
sub_topic_28,1.1418503e-05,0.00016558303,1.3363343e-05,1.2022844e-05,4.918677e-06,4.9414466e-06,0.9809661,7.908652e-06,4.877144e-06,3.403597e-05,7.051765e-06,0.0,9.2937575e-05,4.5567536e-05,9.724388e-06,5.7206835e-06,1.6022934e-05,9.273083e-05,3.779355e-06,3.4431318e-06,1.1756638e-05,3.730974e-05,1.1354335e-05,3.782009e-05,3.6451404e-06,1.8592616e-06,1.6072729e-05,1.3873221e-05,0.00019231018,4.7951744e-06,1.5813599e-06,2.6986086e-06,6.120043e-06,1.41341325e-05
sub_topic_29,1.601936e-05,0.00035995574,3.2723678e-05,3.9633214e-06,3.5639116e-06,3.447468e-05,2.601815e-05,3.4050888e-06,1.5233194e-06,2.1716225e-05,4.194802e-05,5.985118e-06,1.4431332e-05,1.9732703e-05,0.00026335273,7.3243805e-06,1.8050543e-05,6.907598e-05,9.929746e-06,0.0,8.156813e-06,0.96321106,0.00011777938,1.5993299e-05,5.263281e-06,5.100529e-07,0.00031745096,3.457369e-06,1.9161944e-05,3.1397244e-06,9.092747e-06,4.038615e-05,1.8611931e-06,6.1767125e-05
sub_topic_30,0.0005416712,5.9729635e-05,0.07712592,5.610486e-05,5.3128497e-05,0.0002454123,0.00010407556,4.580083e-06,3.566645e-05,1.9032163e-05,0.00042302694,0.0002759177,3.4604636e-05,0.00018582057,0.00010317094,0.0013127001,0.00021048724,1.1918414e-05,5.4762946e-05,2.7230499e-05,8.081956e-06,0.00024363949,0.0005641458,2.8646484e-06,1.4078814e-05,5.348799e-06,0.08764055,1.2426926e-05,9.158433e-05,2.2508737e-05,0.00025036675,9.6280826e-05,0.00053608697,0.0018850612
sub_topic_31,0.00010122604,5.404172e-05,0.00015232265,7.38083e-05,2.7566179e-05,3.919632e-05,5.836499e-05,1.8653067e-05,7.066181e-06,6.925719e-05,2.2052825e-06,5.8033714e-07,0.00010884964,1.992368e-05,2.8965244e-06,2.941941e-09,0.0002825554,5.9790713e-05,0.00015401452,0.97212386,0.0014084239,1.8164721e-05,6.6595974e-05,1.3613594e-05,1.1017081e-05,0.004466118,3.3411136e-05,0.00011555898,1.8376864e-05,0.00044088362,1.06685375e-05,8.84499e-06,0.000120264725,1.1175185e-05
sub_topic_32,2.7147033e-05,0.00032146223,3.4738252e-05,0.0003969387,4.222301e-05,4.1492192e-05,7.768805e-05,0.00019153769,7.5595676e-06,0.00042069098,0.001128095,0.0002927538,1.0719078e-05,0.00053248915,0.0048311767,0.0022526404,1.1873369e-05,4.394342e-06,9.422711e-05,1.1852119e-05,4.9565947e-06,0.0017321896,0.00035878876,5.832865e-05,0.013684445,0.00010138601,0.00034709863,1.9222309e-05,0.00079275056,0.0001466656,0.0011176978,0.4967715,1.5615013e-05,4.021296e-05
