,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38
sub_topic_10,0.00010075277,6.703284e-05,0.00022449947,7.712167e-05,0.00010330796,0.000117784795,6.542001e-05,6.9810165e-05,1.5605274e-05,6.3021515e-05,1.958717e-05,1.7373021e-06,0.00011691609,1.6122613e-05,6.1989026e-06,2.4954227e-06,0.00018901122,7.926938e-05,1.8511788e-05,0.9655128,0.00027859543,2.546798e-05,7.823869e-05,3.4279747e-05,1.6934362e-05,0.0036178334,6.273136e-05,0.0029632938,3.4191013e-05,0.00017955861,1.5948484e-05,1.6070799e-05,0.00018889096,2.1987893e-05,2.0121458e-06,0.00010111496,8.036117e-05,9.3310024e-05,0.00026894844
sub_topic_11,0.00016983037,6.6213615e-05,0.00019020044,9.8509845e-05,7.7807876e-05,0.00028647162,0.00013251757,2.541225e-05,1.6436941e-05,0.0005454085,0.0001232818,3.6778172e-05,8.672739e-05,0.00031638084,0.00012015964,0.0001283925,0.00014555374,3.1790234e-05,0.00011012248,1.8560278e-05,0.00045163266,7.97795e-05,8.841317e-05,8.042964e-06,7.669769e-05,5.4830125e-05,0.00013509742,0.00026561314,0.0006686371,0.12188819,4.2671665e-05,0.00023889878,2.7207307e-05,6.543905e-05,0.00018511037,0.08174158,0.0014040029,0.00023233957,0.00011873941
sub_topic_12,9.1584184e-07,6.820816e-05,0.00023845163,0.9807547,1.3834878e-07,3.5447763e-05,1.4501213e-06,0.0,1.3859201e-06,4.7443075e-07,3.84125e-06,0.0005315502,3.067833e-06,1.3807411e-06,2.2847364e-06,0.0,1.8047524e-05,1.8285305e-05,0.0004525511,6.1621004e-06,1.5262296e-05,0.00014686813,1.8170096e-05,0.0,0.0,1.9328065e-06,2.4065052e-05,5.558534e-05,2.5577215e-06,6.703128e-10,3.045226e-07,8.487616e-06,0.0,2.7359014e-05,5.973767e-07,2.0987925e-05,2.5923828e-06,0.0001797084,0.00016957556
sub_topic_13,4.682864e-05,5.9611768e-05,0.015192078,5.7495367e-06,0.0012065034,5.7138226e-05,3.0812964e-05,5.540089e-05,0.00024928869,3.1554806e-05,0.0018748402,0.00014761632,6.2457075e-05,5.538148e-05,0.00029253535,0.00015915201,0.0008200774,7.60032e-06,0.0,6.9632355e-05,4.5008534e-07,0.00010413924,0.0015390122,4.028234e-05,0.0051491777,0.00029862282,8.1838094e-05,0.00024205576,3.0315485e-05,4.56158e-06,0.5480275,0.0025866495,0.00028826098,0.00061222236,5.3381227e-05,0.0005884998,2.3567369e-05,0.00010034893,6.7778856e-05
sub_topic_14,2.3925713e-05,0.0003949832,0.00012206672,3.7138896e-05,7.689194e-05,8.904087e-05,0.00025439062,0.00029982196,0.0002460386,2.0128742e-05,3.3227505e-05,3.1640655e-05,0.00039332852,0.00022573072,5.1432224e-05,1.93841e-05,9.8097575e-05,0.00050540996,1.0772974e-05,0.00023196783,6.659232e-05,0.00022907899,0.00010611798,0.77166104,6.5030625e-05,0.0001955792,5.5300745e-05,0.89246863,4.1019084e-05,1.8135237e-05,9.551016e-05,5.208267e-05,0.0001511434,3.2385058e-05,1.9227688e-05,0.00018018819,0.000107020394,0.0005863684,5.814611e-05
sub_topic_15,0.001640118,0.00043238362,0.0018326214,0.00052280125,0.0016664639,0.0010588731,0.00014492372,6.915692e-06,2.3552357e-06,0.002950608,0.0009878365,0.0,0.0006466404,0.00031127772,0.010974583,2.9739143e-05,0.0019041247,0.001306174,0.00021250446,0.00014292031,0.106869005,0.0014256636,0.0011281369,0.0,4.3462063e-05,6.214746e-05,0.00046436934,0.00074235874,0.0005910971,0.0062647504,0.00023142171,3.8810547e-05,5.9969007e-05,7.55811e-05,8.171429e-06,0.0013546282,0.0043793363,0.0009634637,0.00016524958
sub_topic_16,2.4617007e-06,0.0001983589,2.9811581e-05,3.136613e-06,1.0809932e-06,2.7429815e-05,8.458891e-05,9.743594e-06,1.7322077e-06,1.744298e-05,1.2850803e-05,0.0,0.9873818,1.9738121e-05,2.6457832e-05,2.8421655e-06,4.94732e-05,0.0019770488,1.0190968e-05,7.652362e-06,1.4219869e-05,5.0884384e-05,1.7977069e-05,1.1726372e-05,1.1344066e-06,2.1836004e-06,6.750772e-05,0.00029211468,2.3011971e-05,1.6138749e-06,1.1209275e-05,1.4201794e-05,5.4683237e-06,1.7228804e-05,1.0757869e-06,8.101806e-06,3.3245626e-05,5.0443683e-05,2.6555985e-05
sub_topic_17,0.9490959,2.171667e-05,7.617786e-05,5.239575e-06,1.3782868e-05,3.6044123e-05,1.2720414e-05,3.780814e-06,8.615653e-06,8.325404e-05,0.0008092312,2.3863842e-05,4.0533005e-06,9.093228e-05,2.714682e-05,2.915665e-05,2.8043012e-05,3.0615556e-06,0.0004927892,7.4722457e-06,3.261043e-06,2.3004079e-05,6.6183464e-05,0.0,7.326168e-05,1.5912618e-05,5.8936825e-05,8.201279e-05,5.409166e-05,2.678094e-05,1.2801367e-05,1.5542419e-05,2.5126235e-05,0.00012186543,5.021984e-05,3.2613545e-05,0.00016359691,9.823039e-05,2.9682355e-05
sub_topic_18,5.3017437e-05,0.00038126792,0.000102090795,0.00010919674,5.6788317e-06,0.00037928676,0.00011514444,1.2354503e-06,2.0440046e-07,0.13979849,0.000112383364,0.0,5.9793478e-05,8.537397e-05,0.00038727792,6.671788e-06,0.00025489338,0.0084553035,3.633966e-06,1.12280595e-05,0.0009918574,0.00037578962,0.0006188081,0.00012705286,2.926561e-05,6.089759e-06,0.000110788926,0.00029014263,9.110672e-05,1.5526726e-05,8.769628e-06,1.2193293e-05,1.5308517e-05,3.101041e-05,8.5376024e-07,2.399226e-05,8.710828e-05,0.00021274119,4.62789e-05
sub_topic_19,1.2615797e-05,4.2576812e-05,2.9534887e-05,6.737711e-05,4.3093514e-06,0.97238684,2.515762e-05,1.8429159e-06,1.8335108e-07,7.4591095e-05,1.901419e-05,7.5458174e-06,1.7774431e-05,2.428133e-05,4.5851608e-05,1.6651603e-06,4.4717002e-05,9.0445596e-05,6.327773e-06,6.960314e-05,6.152997e-05,4.7459558e-05,4.0467738e-05,0.0,1.5162346e-05,2.1645774e-05,4.1486972e-05,3.7704398e-05,7.636909e-05,8.1958e-06,4.0019486e-06,7.8970406e-05,0.0,2.4761348e-05,1.7113513e-05,8.204498e-05,6.666897e-05,2.6148598e-05,0.0041803806
