,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36
sub_topic_21,3.180636e-05,1.3653075e-05,9.6358475e-05,0.0010561636,6.2637005e-06,1.6030093e-05,2.9299334e-05,5.207766e-06,1.2306018e-05,8.3606945e-05,4.6851936e-05,2.600552e-05,1.1121199e-05,0.00012002342,4.2708394e-05,1.719912e-05,0.00013326952,7.692295e-06,0.00014848239,4.2389045e-05,5.056238e-05,2.368771e-05,7.942484e-05,1.45174545e-05,5.5960325e-05,1.47225755e-05,0.00021608152,4.1146754e-06,0.0001380049,0.00036441657,7.857779e-05,0.0014340163,4.4268722e-06,1.0835864e-05,9.069378e-05,0.8393109,5.8348745e-05
sub_topic_22,2.917402e-05,5.091746e-05,4.395965e-05,9.956657e-06,4.2312154e-06,4.066275e-05,1.016849e-05,2.2973386e-07,2.749834e-06,4.3263906e-05,0.00057311344,1.8261529e-06,5.3417793e-06,5.4798864e-05,9.33993e-05,5.4838792e-06,0.00011595474,7.1492424e-05,1.7865394e-05,1.1642077e-06,1.4906554e-05,0.00015077804,0.94863796,0.0,0.00015320265,7.09453e-07,0.000100279256,3.4613652e-06,1.7367589e-05,1.2931578e-06,0.000411364,8.343258e-05,6.414384e-06,0.0012191024,4.194535e-06,3.371335e-05,1.9755382e-05
sub_topic_23,0.00092879235,4.3953045e-05,0.02180358,0.0004096839,0.000108153385,0.0059977435,0.00021874314,6.166179e-05,1.5542659e-05,0.00031163235,0.0038738623,0.00035772103,1.905443e-05,0.0008888444,0.00010754225,0.0058132755,2.1478392e-05,8.945433e-06,0.0006959472,1.964014e-05,0.0,0.00049041206,0.0002761029,4.5516845e-06,4.8634265e-05,2.4583183e-05,0.0007518655,5.7233807e-05,0.09822232,0.0026888996,0.00057398446,0.00012427215,0.0004027424,0.0036079902,0.14561625,0.0045748176,3.777324e-05
sub_topic_24,3.3325658e-05,8.920641e-06,5.8364553e-06,1.1419677e-05,7.544397e-06,2.0132898e-05,1.84113e-05,8.593346e-07,2.3575374e-06,0.00064783066,1.7038436e-05,3.9325414e-07,2.1110334e-06,0.91515195,3.804159e-05,0.0002591917,4.175507e-05,3.2986748e-06,1.3386098e-06,0.0,1.2318355e-06,1.925231e-05,4.1942207e-05,0.0,0.00024428952,4.092728e-06,9.063681e-06,9.15579e-06,0.0004517386,6.30268e-06,2.9244895e-06,1.2364147e-05,8.980061e-09,7.861053e-06,5.3832164e-06,1.8433373e-05,2.862475e-05
sub_topic_25,0.000750169,0.00015783144,0.0005123333,0.00020283829,0.0006870801,4.3664128e-05,0.00015668685,0.00017531285,0.00033475395,0.00014076135,0.00012483021,0.00025364303,9.815681e-05,0.00035178507,0.000288154,0.00034563648,0.00063535175,2.362675e-05,0.00034017657,0.0024943084,4.1945805e-05,0.00019437581,0.00020771447,2.0034828e-05,0.0011025171,0.96649224,0.00029985738,0.0010677743,0.00020371939,0.00045025616,0.0003635538,0.00066356716,0.00037592644,0.00016518042,0.00015311381,0.00024277487,0.00012690079
sub_topic_26,3.6398596e-05,2.9405957e-05,2.5537069e-05,2.006054e-05,2.7595015e-06,3.627295e-05,6.697809e-06,3.2388327e-06,0.0,0.94728625,3.3360906e-05,0.0,3.4869302e-06,0.00074739824,6.925042e-05,4.6883855e-05,3.133462e-05,2.5885205e-05,1.0845375e-06,0.0,6.6801363e-06,3.848025e-05,4.5725385e-05,0.0,8.047927e-05,0.0,1.18480375e-05,0.00022540716,0.0014200239,1.9996463e-05,2.4674946e-06,9.381073e-06,8.4812297e-07,4.951423e-06,6.055005e-06,4.0498915e-05,2.6758315e-05
sub_topic_27,7.1423005e-06,0.9419004,1.0959414e-05,3.3729539e-06,3.737067e-06,1.3008601e-05,5.4371238e-05,1.1376205e-05,9.420628e-07,2.9714227e-05,2.518931e-05,0.0,7.826069e-05,1.893347e-05,2.94882e-05,1.2541499e-07,2.5038287e-05,0.00017482799,2.0306788e-05,7.26031e-07,2.4529012e-05,0.00010274183,2.8013914e-05,5.979291e-06,3.3736146e-06,1.699876e-06,0.0002043587,1.2837206e-05,1.2537371e-05,3.7295442e-07,3.507747e-06,3.1768806e-05,9.944619e-07,2.8460265e-05,4.762273e-06,1.5026149e-06,8.305875e-06
sub_topic_28,5.452635e-06,9.316326e-05,1.1945005e-05,8.675881e-06,3.301177e-06,8.566217e-06,0.97867686,3.7557334e-06,4.190736e-06,2.4803536e-05,1.8031868e-06,0.0,5.290645e-05,2.937181e-05,3.892813e-06,1.0562943e-05,3.861025e-05,4.6716952e-05,2.3705368e-06,1.6064313e-06,7.558726e-06,3.1779015e-05,1.18814705e-05,2.0032869e-05,2.3846496e-06,6.7397184e-07,1.86643e-05,6.5620193e-06,0.00031764293,8.6667694e-07,3.2255247e-07,1.8468778e-06,2.911247e-06,7.017331e-06,6.683882e-07,8.089081e-06,7.3878236e-06
sub_topic_29,1.0068817e-05,0.00024005129,4.6943536e-05,5.0546396e-06,3.0569013e-06,3.9778566e-05,3.331347e-05,2.8392012e-06,9.27136e-07,3.014195e-05,8.698017e-05,2.9190364e-06,2.3296137e-05,2.0643309e-05,0.0001405758,8.311309e-06,0.00011935254,5.9498983e-05,1.5961525e-05,0.0,1.7777229e-05,0.9595049,0.00010251979,7.265294e-06,6.774307e-06,0.0,0.0003679401,3.6193894e-06,1.3880228e-05,1.4391343e-06,9.837124e-06,3.637344e-05,2.7558858e-06,3.8795693e-05,1.3972471e-05,8.655039e-06,2.4078136e-06
sub_topic_30,0.0008735192,0.00010643342,0.23076153,8.171776e-05,5.8529287e-05,0.00015872017,0.00013844331,9.737135e-06,1.8971228e-05,4.820054e-05,0.0011191494,0.0003116517,4.309691e-05,0.0002466979,0.00022509044,0.001755597,7.21427e-07,1.084405e-05,8.9571426e-05,1.8545896e-05,2.8708135e-05,0.00058519567,0.0003328991,7.3640587e-07,7.5036555e-06,1.0086228e-05,0.11848753,1.6631242e-05,0.0002278686,2.4775878e-05,0.000243303,0.00013277608,0.00086986367,0.005503578,0.0011412152,0.00016760206,2.0280911e-05
